id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.009,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.004,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.003,
,,,154,,10,,,,0.005,
,,,154,,10,,,,0.007,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.001,
,,,154,,10,,,,0.008,
,,,154,,10,,,,0.002,
,,,154,,10,,,,0.006,
,,,154,,10,,,,0.001,
