id,scenario,source,target,length
1,SYN_SYN_LARGE_S103,N0,N1,445
2,SYN_SYN_LARGE_S103,N1,N2,313
3,SYN_SYN_LARGE_S103,N2,N3,448
4,SYN_SYN_LARGE_S103,N3,N4,436
5,SYN_SYN_LARGE_S103,N4,N5,456
6,SYN_SYN_LARGE_S103,N5,N6,498
7,SYN_SYN_LARGE_S103,N6,N7,190
8,SYN_SYN_LARGE_S103,N7,N8,432
9,SYN_SYN_LARGE_S103,N8,N9,119
10,SYN_SYN_LARGE_S103,N9,N10,388
11,SYN_SYN_LARGE_S103,N10,N11,458
12,SYN_SYN_LARGE_S103,N11,N12,142
13,SYN_SYN_LARGE_S103,N12,N13,415
14,SYN_SYN_LARGE_S103,N13,N14,275
15,SYN_SYN_LARGE_S103,N14,N15,316
16,SYN_SYN_LARGE_S103,N15,N16,253
17,SYN_SYN_LARGE_S103,N16,N17,425
18,SYN_SYN_LARGE_S103,N17,N18,140
19,SYN_SYN_LARGE_S103,N18,N19,330
20,SYN_SYN_LARGE_S103,N19,N20,122
21,SYN_SYN_LARGE_S103,N20,N21,147
22,SYN_SYN_LARGE_S103,N21,N22,193
23,SYN_SYN_LARGE_S103,N22,N23,378
24,SYN_SYN_LARGE_S103,N23,N24,92
25,SYN_SYN_LARGE_S103,N24,N25,102
26,SYN_SYN_LARGE_S103,N25,N26,195
27,SYN_SYN_LARGE_S103,N26,N27,134
28,SYN_SYN_LARGE_S103,N27,N28,434
29,SYN_SYN_LARGE_S103,N28,N29,145
30,SYN_SYN_LARGE_S103,N29,N30,390
31,SYN_SYN_LARGE_S103,N30,N31,347
32,SYN_SYN_LARGE_S103,N31,N32,230
33,SYN_SYN_LARGE_S103,N32,N33,173
34,SYN_SYN_LARGE_S103,N33,N34,461
35,SYN_SYN_LARGE_S103,N34,N35,289
36,SYN_SYN_LARGE_S103,N35,N36,455
37,SYN_SYN_LARGE_S103,N36,N37,377
38,SYN_SYN_LARGE_S103,N37,N38,450
39,SYN_SYN_LARGE_S103,N38,N39,424
40,SYN_SYN_LARGE_S103,N39,N40,292
41,SYN_SYN_LARGE_S103,N40,N41,196
42,SYN_SYN_LARGE_S103,N41,N42,482
43,SYN_SYN_LARGE_S103,N42,N43,416
44,SYN_SYN_LARGE_S103,N43,N44,373
45,SYN_SYN_LARGE_S103,N44,N45,474
46,SYN_SYN_LARGE_S103,N45,N46,396
47,SYN_SYN_LARGE_S103,N46,N47,207
48,SYN_SYN_LARGE_S103,N47,N48,124
49,SYN_SYN_LARGE_S103,N48,N49,268
50,SYN_SYN_LARGE_S103,N49,N50,183
51,SYN_SYN_LARGE_S103,N50,N51,377
52,SYN_SYN_LARGE_S103,N51,N52,191
53,SYN_SYN_LARGE_S103,N52,N53,434
54,SYN_SYN_LARGE_S103,N53,N54,396
55,SYN_SYN_LARGE_S103,N54,N55,341
56,SYN_SYN_LARGE_S103,N55,N56,323
57,SYN_SYN_LARGE_S103,N56,N57,208
58,SYN_SYN_LARGE_S103,N57,N58,444
59,SYN_SYN_LARGE_S103,N58,N59,224
60,SYN_SYN_LARGE_S103,N8,N31,176
61,SYN_SYN_LARGE_S103,N13,N21,319
62,SYN_SYN_LARGE_S103,N20,N39,252
63,SYN_SYN_LARGE_S103,N7,N32,354
64,SYN_SYN_LARGE_S103,N46,N59,367
65,SYN_SYN_LARGE_S103,N24,N28,484
66,SYN_SYN_LARGE_S103,N12,N41,199
67,SYN_SYN_LARGE_S103,N14,N46,300
68,SYN_SYN_LARGE_S103,N53,N59,467
69,SYN_SYN_LARGE_S103,N19,N26,140
70,SYN_SYN_LARGE_S103,N10,N28,272
71,SYN_SYN_LARGE_S103,N13,N23,452
72,SYN_SYN_LARGE_S103,N42,N58,328
73,SYN_SYN_LARGE_S103,N39,N57,86
74,SYN_SYN_LARGE_S103,N9,N52,489
75,SYN_SYN_LARGE_S103,N14,N48,271
76,SYN_SYN_LARGE_S103,N40,N51,195
77,SYN_SYN_LARGE_S103,N11,N23,84
78,SYN_SYN_LARGE_S103,N42,N56,269
79,SYN_SYN_LARGE_S103,N1,N38,239
80,SYN_SYN_LARGE_S103,N4,N38,398
81,SYN_SYN_LARGE_S103,N31,N58,262
82,SYN_SYN_LARGE_S103,N8,N13,218
83,SYN_SYN_LARGE_S103,N17,N53,324
84,SYN_SYN_LARGE_S103,N37,N50,310
85,SYN_SYN_LARGE_S103,N32,N56,145
86,SYN_SYN_LARGE_S103,N20,N34,449
87,SYN_SYN_LARGE_S103,N4,N14,113
88,SYN_SYN_LARGE_S103,N10,N49,327
89,SYN_SYN_LARGE_S103,N13,N52,145
90,SYN_SYN_LARGE_S103,N21,N30,204
91,SYN_SYN_LARGE_S103,N20,N32,112
92,SYN_SYN_LARGE_S103,N18,N27,222
93,SYN_SYN_LARGE_S103,N23,N53,265
94,SYN_SYN_LARGE_S103,N8,N20,495
95,SYN_SYN_LARGE_S103,N6,N46,315
96,SYN_SYN_LARGE_S103,N11,N48,387
97,SYN_SYN_LARGE_S103,N4,N32,433
98,SYN_SYN_LARGE_S103,N12,N30,356
99,SYN_SYN_LARGE_S103,N46,N57,298
100,SYN_SYN_LARGE_S103,N29,N54,107
101,SYN_SYN_LARGE_S103,N3,N26,97
102,SYN_SYN_LARGE_S103,N11,N33,191
103,SYN_SYN_LARGE_S103,N15,N34,146
104,SYN_SYN_LARGE_S103,N22,N55,184
105,SYN_SYN_LARGE_S103,N38,N57,97
106,SYN_SYN_LARGE_S103,N3,N24,374
107,SYN_SYN_LARGE_S103,N8,N37,399
108,SYN_SYN_LARGE_S103,N0,N52,334
109,SYN_SYN_LARGE_S103,N0,N34,254
110,SYN_SYN_LARGE_S103,N19,N59,393
111,SYN_SYN_LARGE_S103,N19,N44,177
112,SYN_SYN_LARGE_S103,N45,N51,283
113,SYN_SYN_LARGE_S103,N29,N48,426
114,SYN_SYN_LARGE_S103,N26,N52,183
115,SYN_SYN_LARGE_S103,N6,N53,112
116,SYN_SYN_LARGE_S103,N47,N50,231
117,SYN_SYN_LARGE_S103,N7,N37,218
118,SYN_SYN_LARGE_S103,N30,N47,460
119,SYN_SYN_LARGE_S103,N7,N34,199
120,SYN_SYN_LARGE_S103,E0,N17,169
121,SYN_SYN_LARGE_S103,E1,N7,198
