id,scenario,source,target,length
1,SYN_SYN_LARGE_S102,N0,N1,155
2,SYN_SYN_LARGE_S102,N1,N2,426
3,SYN_SYN_LARGE_S102,N2,N3,395
4,SYN_SYN_LARGE_S102,N3,N4,263
5,SYN_SYN_LARGE_S102,N4,N5,166
6,SYN_SYN_LARGE_S102,N5,N6,363
7,SYN_SYN_LARGE_S102,N6,N7,444
8,SYN_SYN_LARGE_S102,N7,N8,418
9,SYN_SYN_LARGE_S102,N8,N9,391
10,SYN_SYN_LARGE_S102,N9,N10,173
11,SYN_SYN_LARGE_S102,N10,N11,276
12,SYN_SYN_LARGE_S102,N11,N12,229
13,SYN_SYN_LARGE_S102,N12,N13,396
14,SYN_SYN_LARGE_S102,N13,N14,299
15,SYN_SYN_LARGE_S102,N14,N15,369
16,SYN_SYN_LARGE_S102,N15,N16,377
17,SYN_SYN_LARGE_S102,N16,N17,102
18,SYN_SYN_LARGE_S102,N17,N18,450
19,SYN_SYN_LARGE_S102,N18,N19,351
20,SYN_SYN_LARGE_S102,N19,N20,358
21,SYN_SYN_LARGE_S102,N20,N21,397
22,SYN_SYN_LARGE_S102,N21,N22,462
23,SYN_SYN_LARGE_S102,N22,N23,346
24,SYN_SYN_LARGE_S102,N23,N24,174
25,SYN_SYN_LARGE_S102,N24,N25,456
26,SYN_SYN_LARGE_S102,N25,N26,484
27,SYN_SYN_LARGE_S102,N26,N27,273
28,SYN_SYN_LARGE_S102,N27,N28,306
29,SYN_SYN_LARGE_S102,N28,N29,196
30,SYN_SYN_LARGE_S102,N29,N30,341
31,SYN_SYN_LARGE_S102,N30,N31,145
32,SYN_SYN_LARGE_S102,N31,N32,123
33,SYN_SYN_LARGE_S102,N32,N33,494
34,SYN_SYN_LARGE_S102,N33,N34,107
35,SYN_SYN_LARGE_S102,N34,N35,433
36,SYN_SYN_LARGE_S102,N35,N36,174
37,SYN_SYN_LARGE_S102,N36,N37,391
38,SYN_SYN_LARGE_S102,N37,N38,374
39,SYN_SYN_LARGE_S102,N38,N39,306
40,SYN_SYN_LARGE_S102,N39,N40,336
41,SYN_SYN_LARGE_S102,N40,N41,193
42,SYN_SYN_LARGE_S102,N41,N42,445
43,SYN_SYN_LARGE_S102,N42,N43,351
44,SYN_SYN_LARGE_S102,N43,N44,349
45,SYN_SYN_LARGE_S102,N44,N45,154
46,SYN_SYN_LARGE_S102,N45,N46,331
47,SYN_SYN_LARGE_S102,N46,N47,398
48,SYN_SYN_LARGE_S102,N47,N48,290
49,SYN_SYN_LARGE_S102,N48,N49,402
50,SYN_SYN_LARGE_S102,N49,N50,325
51,SYN_SYN_LARGE_S102,N50,N51,423
52,SYN_SYN_LARGE_S102,N51,N52,115
53,SYN_SYN_LARGE_S102,N52,N53,206
54,SYN_SYN_LARGE_S102,N53,N54,392
55,SYN_SYN_LARGE_S102,N54,N55,127
56,SYN_SYN_LARGE_S102,N55,N56,250
57,SYN_SYN_LARGE_S102,N56,N57,273
58,SYN_SYN_LARGE_S102,N57,N58,432
59,SYN_SYN_LARGE_S102,N58,N59,179
60,SYN_SYN_LARGE_S102,N10,N34,319
61,SYN_SYN_LARGE_S102,N26,N39,207
62,SYN_SYN_LARGE_S102,N8,N37,395
63,SYN_SYN_LARGE_S102,N15,N23,253
64,SYN_SYN_LARGE_S102,N17,N22,259
65,SYN_SYN_LARGE_S102,N1,N52,342
66,SYN_SYN_LARGE_S102,N23,N30,330
67,SYN_SYN_LARGE_S102,N22,N32,366
68,SYN_SYN_LARGE_S102,N42,N50,101
69,SYN_SYN_LARGE_S102,N37,N59,179
70,SYN_SYN_LARGE_S102,N15,N46,481
71,SYN_SYN_LARGE_S102,N19,N55,261
72,SYN_SYN_LARGE_S102,N11,N54,479
73,SYN_SYN_LARGE_S102,N22,N46,146
74,SYN_SYN_LARGE_S102,N28,N48,387
75,SYN_SYN_LARGE_S102,N14,N31,225
76,SYN_SYN_LARGE_S102,N4,N27,470
77,SYN_SYN_LARGE_S102,N54,N59,209
78,SYN_SYN_LARGE_S102,N18,N45,373
79,SYN_SYN_LARGE_S102,N37,N49,495
80,SYN_SYN_LARGE_S102,N34,N53,334
81,SYN_SYN_LARGE_S102,N24,N46,340
82,SYN_SYN_LARGE_S102,N20,N41,460
83,SYN_SYN_LARGE_S102,N36,N59,237
84,SYN_SYN_LARGE_S102,N14,N18,99
85,SYN_SYN_LARGE_S102,N29,N39,247
86,SYN_SYN_LARGE_S102,N17,N26,261
87,SYN_SYN_LARGE_S102,N5,N44,335
88,SYN_SYN_LARGE_S102,N42,N44,474
89,SYN_SYN_LARGE_S102,N18,N22,421
90,SYN_SYN_LARGE_S102,N11,N49,264
91,SYN_SYN_LARGE_S102,N17,N56,436
92,SYN_SYN_LARGE_S102,N53,N58,305
93,SYN_SYN_LARGE_S102,N10,N17,208
94,SYN_SYN_LARGE_S102,N7,N37,280
95,SYN_SYN_LARGE_S102,N29,N57,188
96,SYN_SYN_LARGE_S102,N24,N33,489
97,SYN_SYN_LARGE_S102,N38,N41,210
98,SYN_SYN_LARGE_S102,N12,N37,226
99,SYN_SYN_LARGE_S102,N24,N57,87
100,SYN_SYN_LARGE_S102,N19,N34,115
101,SYN_SYN_LARGE_S102,N8,N53,267
102,SYN_SYN_LARGE_S102,N25,N51,383
103,SYN_SYN_LARGE_S102,N27,N31,152
104,SYN_SYN_LARGE_S102,N30,N44,213
105,SYN_SYN_LARGE_S102,N47,N51,225
106,SYN_SYN_LARGE_S102,N11,N31,91
107,SYN_SYN_LARGE_S102,N32,N42,345
108,SYN_SYN_LARGE_S102,N15,N49,105
109,SYN_SYN_LARGE_S102,N18,N39,437
110,SYN_SYN_LARGE_S102,N17,N25,326
111,SYN_SYN_LARGE_S102,N2,N14,437
112,SYN_SYN_LARGE_S102,N9,N43,248
113,SYN_SYN_LARGE_S102,N12,N25,159
114,SYN_SYN_LARGE_S102,N12,N15,122
115,SYN_SYN_LARGE_S102,N35,N52,301
116,SYN_SYN_LARGE_S102,N6,N8,198
117,SYN_SYN_LARGE_S102,N1,N21,490
118,SYN_SYN_LARGE_S102,N52,N58,92
119,SYN_SYN_LARGE_S102,N19,N29,399
120,SYN_SYN_LARGE_S102,E0,N55,87
121,SYN_SYN_LARGE_S102,E1,N27,50
122,SYN_SYN_LARGE_S102,E2,N47,114
123,SYN_SYN_LARGE_S102,E3,N17,43
124,SYN_SYN_LARGE_S102,E4,N58,156
125,SYN_SYN_LARGE_S102,E5,N41,178
126,SYN_SYN_LARGE_S102,E6,N40,113
127,SYN_SYN_LARGE_S102,E7,N58,193
128,SYN_SYN_LARGE_S102,E8,N22,32
129,SYN_SYN_LARGE_S102,E9,N10,213
130,SYN_SYN_LARGE_S102,E10,N47,89
131,SYN_SYN_LARGE_S102,E11,N5,137
132,SYN_SYN_LARGE_S102,E12,N19,126
133,SYN_SYN_LARGE_S102,E13,N11,120
134,SYN_SYN_LARGE_S102,E14,N27,122
135,SYN_SYN_LARGE_S102,E15,N43,155
136,SYN_SYN_LARGE_S102,E16,N20,46
137,SYN_SYN_LARGE_S102,E17,N1,57
138,SYN_SYN_LARGE_S102,E18,N40,142
139,SYN_SYN_LARGE_S102,E19,N31,146
140,SYN_SYN_LARGE_S102,L0000A,E11,12
141,SYN_SYN_LARGE_S102,L0000B,E16,65
142,SYN_SYN_LARGE_S102,L0001A,E1,33
143,SYN_SYN_LARGE_S102,L0001B,E4,61
144,SYN_SYN_LARGE_S102,L0002A,E0,48
145,SYN_SYN_LARGE_S102,L0002B,E5,85
146,SYN_SYN_LARGE_S102,L0003A,E5,55
147,SYN_SYN_LARGE_S102,L0003B,E10,77
148,SYN_SYN_LARGE_S102,L0004A,E13,29
149,SYN_SYN_LARGE_S102,L0004B,E14,17
150,SYN_SYN_LARGE_S102,L0005A,E6,15
151,SYN_SYN_LARGE_S102,L0005B,E8,100
152,SYN_SYN_LARGE_S102,L0006A,E2,22
153,SYN_SYN_LARGE_S102,L0006B,E11,84
154,SYN_SYN_LARGE_S102,L0007A,E1,46
155,SYN_SYN_LARGE_S102,L0007B,E9,46
156,SYN_SYN_LARGE_S102,L0008A,E8,60
157,SYN_SYN_LARGE_S102,L0008B,E19,48
158,SYN_SYN_LARGE_S102,L0009A,E0,97
159,SYN_SYN_LARGE_S102,L0009B,E9,65
160,SYN_SYN_LARGE_S102,L0010A,E10,47
161,SYN_SYN_LARGE_S102,L0010B,E15,57
162,SYN_SYN_LARGE_S102,L0011A,E11,82
163,SYN_SYN_LARGE_S102,L0011B,E15,84
