id,scenario,source,target,length
1,SYN_SYN_SMALL_S103,N0,N1,445
2,SYN_SYN_SMALL_S103,N1,N2,313
3,SYN_SYN_SMALL_S103,N2,N3,448
4,SYN_SYN_SMALL_S103,N3,N4,436
5,SYN_SYN_SMALL_S103,N4,N5,456
6,SYN_SYN_SMALL_S103,N5,N6,498
7,SYN_SYN_SMALL_S103,N6,N7,190
8,SYN_SYN_SMALL_S103,N0,N6,173
9,SYN_SYN_SMALL_S103,N1,N5,461
10,SYN_SYN_SMALL_S103,N1,N6,289
11,SYN_SYN_SMALL_S103,N0,N7,455
12,SYN_SYN_SMALL_S103,E0,N6,88
13,SYN_SYN_SMALL_S103,E1,N3,52
14,SYN_SYN_SMALL_S103,E2,N5,81
15,SYN_SYN_SMALL_S103,E3,N3,207
16,SYN_SYN_SMALL_S103,E4,N7,241
17,SYN_SYN_SMALL_S103,E5,N4,212
18,SYN_SYN_SMALL_S103,L0000A,E1,22
19,SYN_SYN_SMALL_S103,L0000B,E3,71
20,SYN_SYN_SMALL_S103,L0001A,E0,54
21,SYN_SYN_SMALL_S103,L0001B,E3,22
22,SYN_SYN_SMALL_S103,L0002A,E1,94
23,SYN_SYN_SMALL_S103,L0002B,E2,99
24,SYN_SYN_SMALL_S103,L0003A,E2,21
25,SYN_SYN_SMALL_S103,L0003B,E4,49
26,SYN_SYN_SMALL_S103,L0004A,E0,72
27,SYN_SYN_SMALL_S103,L0004B,E2,95
28,SYN_SYN_SMALL_S103,L0005A,E2,25
29,SYN_SYN_SMALL_S103,L0005B,E3,82
