id,scenario,source,target,length
1,SYN_SYN_MEDIUM_S102,N0,N1,155
2,SYN_SYN_MEDIUM_S102,N1,N2,426
3,SYN_SYN_MEDIUM_S102,N2,N3,395
4,SYN_SYN_MEDIUM_S102,N3,N4,263
5,SYN_SYN_MEDIUM_S102,N4,N5,166
6,SYN_SYN_MEDIUM_S102,N5,N6,363
7,SYN_SYN_MEDIUM_S102,N6,N7,444
8,SYN_SYN_MEDIUM_S102,N7,N8,418
9,SYN_SYN_MEDIUM_S102,N8,N9,391
10,SYN_SYN_MEDIUM_S102,N9,N10,173
11,SYN_SYN_MEDIUM_S102,N10,N11,276
12,SYN_SYN_MEDIUM_S102,N11,N12,229
13,SYN_SYN_MEDIUM_S102,N12,N13,396
14,SYN_SYN_MEDIUM_S102,N13,N14,299
15,SYN_SYN_MEDIUM_S102,N14,N15,369
16,SYN_SYN_MEDIUM_S102,N15,N16,377
17,SYN_SYN_MEDIUM_S102,N16,N17,102
18,SYN_SYN_MEDIUM_S102,N17,N18,450
19,SYN_SYN_MEDIUM_S102,N18,N19,351
20,SYN_SYN_MEDIUM_S102,N19,N20,358
21,SYN_SYN_MEDIUM_S102,N20,N21,397
22,SYN_SYN_MEDIUM_S102,N21,N22,462
23,SYN_SYN_MEDIUM_S102,N22,N23,346
24,SYN_SYN_MEDIUM_S102,N3,N21,281
25,SYN_SYN_MEDIUM_S102,N10,N12,135
26,SYN_SYN_MEDIUM_S102,N1,N12,100
27,SYN_SYN_MEDIUM_S102,N17,N21,433
28,SYN_SYN_MEDIUM_S102,N3,N6,419
29,SYN_SYN_MEDIUM_S102,N11,N19,253
30,SYN_SYN_MEDIUM_S102,N11,N23,257
31,SYN_SYN_MEDIUM_S102,N4,N14,329
32,SYN_SYN_MEDIUM_S102,N12,N20,354
33,SYN_SYN_MEDIUM_S102,N0,N21,434
34,SYN_SYN_MEDIUM_S102,N15,N22,449
35,SYN_SYN_MEDIUM_S102,N16,N22,125
36,SYN_SYN_MEDIUM_S102,N3,N14,385
37,SYN_SYN_MEDIUM_S102,N1,N8,107
38,SYN_SYN_MEDIUM_S102,N1,N20,474
39,SYN_SYN_MEDIUM_S102,N3,N16,432
40,SYN_SYN_MEDIUM_S102,N2,N7,313
41,SYN_SYN_MEDIUM_S102,N13,N20,188
42,SYN_SYN_MEDIUM_S102,N14,N23,89
43,SYN_SYN_MEDIUM_S102,N7,N16,311
44,SYN_SYN_MEDIUM_S102,E0,N0,58
45,SYN_SYN_MEDIUM_S102,E1,N9,165
46,SYN_SYN_MEDIUM_S102,E2,N23,35
47,SYN_SYN_MEDIUM_S102,E3,N1,150
48,SYN_SYN_MEDIUM_S102,E4,N22,130
49,SYN_SYN_MEDIUM_S102,E5,N1,142
50,SYN_SYN_MEDIUM_S102,E6,N6,144
51,SYN_SYN_MEDIUM_S102,E7,N23,127
52,SYN_SYN_MEDIUM_S102,E8,N20,89
53,SYN_SYN_MEDIUM_S102,E9,N8,112
54,SYN_SYN_MEDIUM_S102,E10,N5,235
55,SYN_SYN_MEDIUM_S102,E11,N8,220
56,SYN_SYN_MEDIUM_S102,L0000A,E2,34
57,SYN_SYN_MEDIUM_S102,L0000B,E8,36
58,SYN_SYN_MEDIUM_S102,L0001A,E5,59
59,SYN_SYN_MEDIUM_S102,L0001B,E6,40
60,SYN_SYN_MEDIUM_S102,L0002A,E0,59
61,SYN_SYN_MEDIUM_S102,L0002B,E7,52
62,SYN_SYN_MEDIUM_S102,L0003A,E2,78
63,SYN_SYN_MEDIUM_S102,L0003B,E5,29
64,SYN_SYN_MEDIUM_S102,L0004A,E0,74
65,SYN_SYN_MEDIUM_S102,L0004B,E9,11
66,SYN_SYN_MEDIUM_S102,L0005A,E7,20
67,SYN_SYN_MEDIUM_S102,L0005B,E10,74
68,SYN_SYN_MEDIUM_S102,L0006A,E7,77
69,SYN_SYN_MEDIUM_S102,L0006B,E9,46
70,SYN_SYN_MEDIUM_S102,L0007A,E2,86
71,SYN_SYN_MEDIUM_S102,L0007B,E3,100
72,SYN_SYN_MEDIUM_S102,L0008A,E0,14
73,SYN_SYN_MEDIUM_S102,L0008B,E5,73
74,SYN_SYN_MEDIUM_S102,L0009A,E5,58
75,SYN_SYN_MEDIUM_S102,L0009B,E7,57
76,SYN_SYN_MEDIUM_S102,L0010A,E3,64
77,SYN_SYN_MEDIUM_S102,L0010B,E11,14
78,SYN_SYN_MEDIUM_S102,L0011A,E6,13
79,SYN_SYN_MEDIUM_S102,L0011B,E7,71
80,SYN_SYN_MEDIUM_S102,L0012A,E1,54
81,SYN_SYN_MEDIUM_S102,L0012B,E10,89
82,SYN_SYN_MEDIUM_S102,L0013A,E4,79
83,SYN_SYN_MEDIUM_S102,L0013B,E10,57
84,SYN_SYN_MEDIUM_S102,L0014A,E2,44
85,SYN_SYN_MEDIUM_S102,L0014B,E4,47
86,SYN_SYN_MEDIUM_S102,L0015A,E2,94
87,SYN_SYN_MEDIUM_S102,L0015B,E11,93
88,SYN_SYN_MEDIUM_S102,L0016A,E1,22
89,SYN_SYN_MEDIUM_S102,L0016B,E11,40
90,SYN_SYN_MEDIUM_S102,L0017A,E2,44
91,SYN_SYN_MEDIUM_S102,L0017B,E6,55
