id,scenario,source,target,length
1,SYN_SYN_SMALL_S101,N0,N1,377
2,SYN_SYN_SMALL_S101,N1,N2,179
3,SYN_SYN_SMALL_S101,N2,N3,356
4,SYN_SYN_SMALL_S101,N3,N4,263
5,SYN_SYN_SMALL_S101,N4,N5,319
6,SYN_SYN_SMALL_S101,N5,N6,104
7,SYN_SYN_SMALL_S101,N6,N7,419
8,SYN_SYN_SMALL_S101,N0,N2,202
9,SYN_SYN_SMALL_S101,N2,N7,406
10,SYN_SYN_SMALL_S101,N1,N7,485
11,SYN_SYN_SMALL_S101,N1,N5,286
12,SYN_SYN_SMALL_S101,E0,N6,83
13,SYN_SYN_SMALL_S101,E1,N1,140
14,SYN_SYN_SMALL_S101,E2,N7,107
15,SYN_SYN_SMALL_S101,E3,N3,58
16,SYN_SYN_SMALL_S101,E4,N5,200
17,SYN_SYN_SMALL_S101,E5,N4,131
18,SYN_SYN_SMALL_S101,L0000A,E0,57
19,SYN_SYN_SMALL_S101,L0000B,E3,100
20,SYN_SYN_SMALL_S101,L0001A,E1,56
21,SYN_SYN_SMALL_S101,L0001B,E2,11
22,SYN_SYN_SMALL_S101,L0002A,E0,43
23,SYN_SYN_SMALL_S101,L0002B,E5,82
24,SYN_SYN_SMALL_S101,L0003A,E1,29
25,SYN_SYN_SMALL_S101,L0003B,E4,14
26,SYN_SYN_SMALL_S101,L0004A,E2,65
27,SYN_SYN_SMALL_S101,L0004B,E4,33
28,SYN_SYN_SMALL_S101,L0005A,E4,45
29,SYN_SYN_SMALL_S101,L0005B,E5,18
