i,i,i,i,i,i,i,i,i,i
1,TESTA10,TESTA10-1,H201A-X01,,C204A-X01,,,,1e-07
2,TESTA10,TESTA10-2,H201A-X01,,C204B-X01,,,,1e-07
3,TESTA10,TESTA10-3,H201A-X01,,C105A-X01,,,,1e-07
4,TESTA10,TESTA10-4,H201A-X01,,C105B-X01,,,,1e-07
5,TESTA10,TESTA10-5,H201A-X01,,C104A-X01,,,,1e-07
6,TESTA10,TESTA10-6,H201A-X01,,C104B-X01,,,,1e-07
7,TESTA10,TESTA10-7,H201A-X02,,C204A-X01,,,,1e-07
8,TESTA10,TESTA10-8,H201A-X02,,C204B-X01,,,,1e-07
9,TESTA10,TESTA10-9,H201A-X02,,C105A-X01,,,,1e-07
10,TESTA10,TESTA10-10,H201A-X02,,C105B-X01,,,,1e-07
11,TESTA10,TESTA10-11,H201A-X02,,C104A-X01,,,,1e-07
12,TESTA10,TESTA10-12,H201A-X02,,C104B-X01,,,,1e-07
13,TESTA10,TESTA10-13,H201A-X03,,C204A-X01,,,,1e-07
14,TESTA10,TESTA10-14,H201A-X03,,C204B-X01,,,,1e-07
15,TESTA10,TESTA10-15,H201A-X03,,C105A-X01,,,,1e-07
16,TESTA10,TESTA10-16,H201A-X03,,C105B-X01,,,,1e-07
17,TESTA10,TESTA10-17,H201A-X03,,C104A-X01,,,,1e-07
18,TESTA10,TESTA10-18,H201A-X03,,C104B-X01,,,,1e-07
19,TESTA10,TESTA10-19,C204A-X01,,C204B-X01,,,,1e-07
20,TESTA10,TESTA10-20,C204A-X01,,C105A-X01,,,,1e-07
21,TESTA10,TESTA10-21,C204A-X01,,C105B-X01,,,,1e-07
22,TESTA10,TESTA10-22,C204A-X01,,C104A-X01,,,,1e-07
23,TESTA10,TESTA10-23,C204A-X01,,C104B-X01,,,,1e-07
