i,i,i,i,i,i,i,i,i,i
1,TESTA01,TESTA01-1,ZD04-C-X01,,Z502-X01,,,,2e-07
2,TESTA01,TESTA01-2,ZD04-C-X01,,Z502-X02,,,,2e-07
3,TESTA01,TESTA01-3,ZD04-C-X01,,Z502-X03,,,,2e-07
4,TESTA01,TESTA01-4,ZD04-C-X01,,310-AND01-X01,,,,1e-07
5,TESTA01,TESTA01-5,ZD04-C-X01,,310-AND01-X02,,,,1e-07
6,TESTA01,TESTA01-6,ZD04-C-X01,,310-AND01-X03,,,,1e-07
7,TESTA01,TESTA01-7,ZD04-C-X01,,C103B-X01G,,,,1e-07
8,TESTA01,TESTA01-8,ZD04-C-X01,,C103A-X01G,,,,1e-07
9,TESTA01,TESTA01-9,ZD04-C-X01,,K305-X01,,,,1e-07
10,TESTA01,TESTA01-10,ZD04-C-X01,,K140B-X01,,,,1e-07
11,TESTA01,TESTA01-11,ZD04-C-X01,,K140B-X02,,,,1e-07
12,TESTA01,TESTA01-12,ZD04-C-X01,,DL-1,,,,1e-07
13,TESTA01,TESTA01-13,ZD04-C-X01,,Z205-X01,,,,1e-07
14,TESTA01,TESTA01-14,ZD04-C-X01,,Z205-X02,,,,1e-07
15,TESTA01,TESTA01-15,ZD04-C-X01,,Z205-X03,,,,1e-07
16,TESTA01,TESTA01-16,ZD04-C-X02,,Z502-X04,,,,1e-07
17,TESTA01,TESTA01-17,ZD04-C-X02,,310-AND01-X04,,,,1e-07
18,TESTA01,TESTA01-18,ZD04-C-X02,,C103B-X02G,,,,1e-07
19,TESTA01,TESTA01-19,ZD04-C-X02,,K305-X02,,,,1e-07
20,TESTA01,TESTA01-20,ZD04-C-X02,,K140B-X03,,,,1e-07
21,TESTA01,TESTA01-21,Z502-X01,,K210-X01,,,,1e-07
22,TESTA01,TESTA01-22,Z502-X01,,V201-X01,,,,2e-07
23,TESTA01,TESTA01-23,Z502-X01,,N301A-X01,,,,2e-07
24,TESTA01,TESTA01-24,Z502-X02,,K210-X02,,,,2e-07
25,TESTA01,TESTA01-25,Z502-X02,,V201-X02,,,,1e-07
26,TESTA01,TESTA01-26,Z502-X02,,N301B-X01,,,,1e-07
27,TESTA01,TESTA01-27,310-AND01-X01,,K210-X03,,,,1e-07
28,TESTA01,TESTA01-28,310-AND01-X01,,V201-X03,,,,1e-07
29,TESTA01,TESTA01-29,310-AND01-X01,,N301C-X01,,,,1e-07
30,TESTA01,TESTA01-30,310-AND01-X02,,K210-X04,,,,1e-07
31,TESTA01,TESTA01-31,310-AND01-X02,,V201-X04,,,,1e-07
32,TESTA01,TESTA01-32,310-AND01-X02,,N301D-X01,,,,1e-07
33,TESTA01,TESTA01-33,C103A-X01G,,K210-X05,,,,1e-07
34,TESTA01,TESTA01-34,C103A-X01G,,V201-X05,,,,1e-07
35,TESTA01,TESTA01-35,C103A-X01G,,N301E-X01,,,,1e-07
36,TESTA01,TESTA01-36,C103B-X01G,,K210-X06,,,,1e-07
37,TESTA01,TESTA01-37,C103B-X01G,,V201-X06,,,,1e-07
38,TESTA01,TESTA01-38,C103B-X01G,,N301F-X01,,,,1e-07
39,TESTA01,TESTA01-39,K305-X01,,K210-X07,,,,1e-07
40,TESTA01,TESTA01-40,K305-X01,,V201-X07,,,,1e-07
41,TESTA01,TESTA01-41,K305-X01,,N301G-X01,,,,1e-07
