i,i,i,i,i
1,TESTA03,ZD06-X01,E67,151.756
2,TESTA03,E67,N67,245
3,TESTA03,E67,N72,8.50053
4,TESTA03,K220-X01,E2596,162.049
5,TESTA03,E2596,N23,325.495
6,TESTA03,E2596,N269,72.9531
7,TESTA03,K220-X02,E2596,196.568
8,TESTA03,K220-X03,E328,243.255
9,TESTA03,E328,N47,245
10,TESTA03,E328,N52,75.2996
11,TESTA03,C106A-X01,E145,66.3681
12,TESTA03,E145,N30,132.495
13,TESTA03,E145,N32,137.12
14,TESTA03,C106A-X02,E162,66.3681
15,TESTA03,E162,N30,177.695
16,TESTA03,E162,N32,91.9196
17,TESTA03,C106B-X01,E179,64.7185
18,TESTA03,E179,N32,98.9704
19,TESTA03,E179,N33,339.425
20,TESTA03,C106B-X02,E294,64.7185
21,TESTA03,E294,N32,144.17
22,TESTA03,E294,N33,294.225
23,TESTA03,DL-9,E311,34.7246
24,TESTA03,E311,N159,127.61
25,TESTA03,E311,N157,171.321
26,TESTA03,DL-10,E213,128.977
27,TESTA03,E213,N159,89.48
28,TESTA03,E213,N157,209.451
29,TESTA03,ZD06-X02,E67,166.28
30,TESTA03,K220-X04,E84,191.254
31,TESTA03,E84,N47,135
32,TESTA03,E84,N52,185.3
33,TESTA03,K220-X05,E84,178.821
34,TESTA03,C106A-X03,E196,46.6913
35,TESTA03,E196,N256,40.0869
36,TESTA03,E196,N32,132.361
37,TESTA03,C106A-X04,E2338,36.6153
38,TESTA03,E2338,N30,99.0952
39,TESTA03,E2338,N32,170.52
40,TESTA03,C106B-X03,E196,48.2271
41,TESTA03,C106B-X04,E2321,34.9474
42,TESTA03,E2321,N32,65.5704
43,TESTA03,E2321,N33,372.825
44,TESTA03,DL-11,E118,104.363
45,TESTA03,E118,N164,609.259
46,TESTA03,E118,N165,803.17
47,TESTA03,DL-12,E277,114.714
48,TESTA03,E277,N164,814.649
49,TESTA03,E277,N165,597.78
50,TESTA03,ZD06-X03,E67,229.66
51,TESTA03,K220-X06,E101,105.193
52,TESTA03,E101,N23,245
53,TESTA03,E101,N269,153.448
54,TESTA03,C106A-X05,E2304,36.6153
55,TESTA03,E2304,N30,205.095
56,TESTA03,E2304,N32,64.5196
57,TESTA03,C106B-X05,E2355,34.9474
58,TESTA03,E2355,N32,171.57
59,TESTA03,E2355,N33,266.825
60,TESTA03,DL-13,E260,107.051
61,TESTA03,E260,N164,1044.47
62,TESTA03,E260,N165,367.96
63,TESTA03,ZD06-X04,E345,151.754
64,TESTA03,E345,N65,139.057
65,TESTA03,E345,N58,369.444
66,TESTA03,K220-X07,E101,150.505
67,TESTA03,DL-14,E50,97.4114
68,TESTA03,E50,N147,121.79
69,TESTA03,E50,N154,158.761
70,TESTA03,N0,N1,17.3326
71,TESTA03,N1,N2,835.119
72,TESTA03,N2,N3,211.615
73,TESTA03,N3,N4,594.663
74,TESTA03,N4,N5,190.743
75,TESTA03,N6,N7,799.439
76,TESTA03,N4,N8,408.146
77,TESTA03,N8,N9,439.137
78,TESTA03,N9,N10,638.341
79,TESTA03,N11,N8,594.663
80,TESTA03,N8,N12,167.183
81,TESTA03,N3,N11,408.146
82,TESTA03,N2,N6,405.779
83,TESTA03,N13,N14,756.609
84,TESTA03,N14,N15,361.744
85,TESTA03,N15,N16,3.29992
86,TESTA03,N17,N18,780.625
87,TESTA03,N18,N19,812.631
88,TESTA03,N19,N20,42.1455
89,TESTA03,N20,N21,128.269
90,TESTA03,N22,N23,246.862
91,TESTA03,N23,N24,452.997
92,TESTA03,N24,N25,107.651
93,TESTA03,N25,N26,190.81
94,TESTA03,N26,N27,878.425
95,TESTA03,N28,N29,8
96,TESTA03,N29,N26,24.4452
97,TESTA03,N26,N30,313.436
98,TESTA03,N30,N31,504.411
99,TESTA03,N30,N32,269.615
100,TESTA03,N32,N33,438.395
101,TESTA03,N33,N34,42.1455
102,TESTA03,N34,N35,128.269
103,TESTA03,N36,N19,17.7864
104,TESTA03,N19,N37,449.921
105,TESTA03,N37,N38,58.0327
106,TESTA03,N38,N33,446.378
107,TESTA03,N256,N32,172.448
108,TESTA03,N32,N39,194.178
109,TESTA03,N39,N40,283.852
110,TESTA03,N31,N37,708.01
111,TESTA03,N17,N41,467.436
112,TESTA03,N42,N43,527.613
113,TESTA03,N43,N41,253.011
114,TESTA03,N25,N44,441.286
115,TESTA03,N44,N45,237.516
116,TESTA03,N45,N46,203.909
117,TESTA03,N46,N47,210.371
118,TESTA03,N47,N48,155.714
119,TESTA03,N48,N22,441.286
120,TESTA03,N43,N49,154.535
121,TESTA03,N49,N46,204.511
122,TESTA03,N49,N50,166.341
123,TESTA03,N23,N269,398.448
124,TESTA03,N269,N270,286.552
125,TESTA03,N270,N271,392.309
126,TESTA03,N47,N52,320.3
127,TESTA03,N45,N53,166.341
128,TESTA03,N42,N18,467.436
129,TESTA03,N54,N55,404.526
130,TESTA03,N56,N57,65
131,TESTA03,N58,N59,242.813
132,TESTA03,N59,N60,209.26
133,TESTA03,N60,N257,171.067
134,TESTA03,N257,N61,182.478
135,TESTA03,N61,N62,221.455
136,TESTA03,N62,N63,11.4939
137,TESTA03,N64,N65,153.443
138,TESTA03,N65,N58,508.501
139,TESTA03,N58,N66,158.056
140,TESTA03,N65,N67,295.959
141,TESTA03,N67,N68,187.58
142,TESTA03,N68,N69,35.7024
143,TESTA03,N69,N70,300.189
144,TESTA03,N70,N71,219.136
145,TESTA03,N67,N72,253.501
146,TESTA03,N59,N73,67.861
147,TESTA03,N73,N74,253.501
148,TESTA03,N61,N75,253.501
149,TESTA03,N70,N76,278.027
150,TESTA03,N77,N78,412.072
151,TESTA03,N79,N80,124.041
152,TESTA03,N80,N81,83.0202
153,TESTA03,N81,N82,114.655
154,TESTA03,N82,N83,112.033
155,TESTA03,N80,N84,76.028
156,TESTA03,N82,N85,76.028
157,TESTA03,N81,N86,292.297
158,TESTA03,N86,N87,104.261
159,TESTA03,N87,N88,194.498
160,TESTA03,N87,N89,53.2309
161,TESTA03,N86,N90,207.061
162,TESTA03,N90,N91,65
163,TESTA03,N91,N68,153.443
164,TESTA03,N92,N93,70.0736
165,TESTA03,N93,N91,375
