instance_id,method,speedup_vs_gcnn,wall_sgm,gcnn_wall_sgm
real_01,z-bias,0.9711723736469621,84.59280371340826,82.15419397580224
real_01,root-z-bias,0.9915183286183405,82.85695947777621,82.15419397580224
real_01,full-prim,3.3401131689446637,24.596230672555187,82.15419397580224
real_01,topology-only,3.3620265068556408,24.43591500789134,82.15419397580224
real_05,z-bias,2.264651321996518,20.212146929151253,45.77346526349025
real_05,root-z-bias,1.4117606968008254,32.42296330193706,45.77346526349025
real_05,full-prim,0.6584190848863608,69.52025892656268,45.77346526349025
real_05,topology-only,0.6705581373766125,68.26174005220076,45.77346526349025
real_08,z-bias,1.6105056217702565,13.438309953591794,21.64247372735078
real_08,root-z-bias,1.6828137492082798,12.860884775592666,21.64247372735078
real_08,full-prim,1.1054674781124223,19.57766660336779,21.64247372735078
real_08,topology-only,1.0577661060556651,20.46054756665822,21.64247372735078
