id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E288,,E460,,,,0.009,
,,,E811,,E865,,,,0.004,
,,,E521,,E676,,,,0.009,
,,,E369,,E624,,,,0.008,
,,,E378,,E813,,,,0.003,
,,,E650,,E740,,,,0.008,
,,,E412,,E778,,,,0.003,
,,,E327,,E665,,,,0.007,
,,,E563,,E572,,,,0.004,
,,,E504,,E775,,,,0.004,
,,,E500,,E517,,,,0.003,
,,,E437,,E800,,,,0.009,
,,,E325,,E370,,,,0.001,
,,,E369,,E806,,,,0.005,
,,,E262,,E263,,,,0.008,
,,,E506,,E514,,,,0.006,
,,,E617,,E854,,,,0.003,
,,,E271,,E686,,,,0.001,
,,,E567,,E752,,,,0.002,
,,,E495,,E730,,,,0.002,
,,,E274,,E637,,,,0.001,
,,,E412,,E688,,,,0.005,
,,,E350,,E598,,,,0.004,
,,,E224,,E667,,,,0.006,
,,,E278,,E645,,,,0.004,
,,,E337,,E856,,,,0.002,
,,,E224,,E261,,,,0.003,
,,,E544,,E602,,,,0.003,
,,,E662,,E673,,,,0.003,
,,,E408,,E728,,,,0.006,
,,,E304,,E636,,,,0.008,
,,,E836,,E870,,,,0.005,
,,,E346,,E539,,,,0.003,
,,,E401,,E458,,,,0.009,
,,,E388,,E572,,,,0.007,
,,,E320,,E833,,,,0.005,
,,,E282,,E824,,,,0.009,
,,,E347,,E743,,,,0.008,
,,,E505,,E853,,,,0.005,
,,,E463,,E793,,,,0.007,
,,,E366,,E755,,,,0.009,
,,,E384,,E579,,,,0.009,
,,,E338,,E566,,,,0.009,
,,,E218,,E584,,,,0.005,
,,,E327,,E731,,,,0.004,
,,,E482,,E492,,,,0.004,
,,,E239,,E305,,,,0.008,
,,,E338,,E395,,,,0.003,
,,,E382,,E466,,,,0.009,
,,,E460,,E576,,,,0.004,
,,,E278,,E497,,,,0.002,
,,,E497,,E756,,,,0.001,
,,,E287,,E333,,,,0.007,
,,,E385,,E775,,,,0.007,
,,,E539,,E636,,,,0.002,
,,,E566,,E832,,,,0.006,
,,,E366,,E630,,,,0.006,
,,,E274,,E446,,,,0.005,
,,,E342,,E606,,,,0.002,
,,,E580,,E624,,,,0.004,
,,,E276,,E679,,,,0.009,
,,,E398,,E860,,,,0.001,
,,,E704,,E783,,,,0.009,
,,,E596,,E833,,,,0.009,
,,,E331,,E588,,,,0.003,
,,,E259,,E345,,,,0.007,
,,,E352,,E462,,,,0.001,
,,,E762,,E834,,,,0.001,
,,,E509,,E837,,,,0.005,
,,,E447,,E679,,,,0.005,
,,,E534,,E793,,,,0.009,
,,,E533,,E557,,,,0.004,
,,,E471,,E751,,,,0.003,
,,,E729,,E769,,,,0.005,
,,,E394,,E743,,,,0.005,
,,,E321,,E371,,,,0.005,
,,,E475,,E700,,,,0.001,
,,,E709,,E817,,,,0.006,
,,,E588,,E801,,,,0.006,
,,,E289,,E670,,,,0.006,
,,,E451,,E679,,,,0.007,
,,,E224,,E470,,,,0.006,
,,,E407,,E814,,,,0.007,
,,,E307,,E730,,,,0.002,
,,,E284,,E296,,,,0.007,
,,,E362,,E614,,,,0.003,
,,,E708,,E753,,,,0.008,
,,,E770,,E813,,,,0.001,
,,,E448,,E690,,,,0.003,
,,,E342,,E825,,,,0.001,
,,,E318,,E550,,,,0.001,
,,,E530,,E595,,,,0.003,
,,,E426,,E526,,,,0.002,
,,,E485,,E776,,,,0.007,
