id,type,source,target,weight
,,M0,M1,360
,,M1,M2,190
,,M2,M3,460
,,M3,M4,480
,,M4,M5,440
,,M5,M6,390
,,M6,M7,170
,,M7,M8,480
,,M8,M9,380
,,M9,M10,450
,,M10,M11,70
,,M11,M12,90
,,M12,M13,110
,,M13,M14,460
,,M14,M15,90
,,M15,M16,440
,,M16,M17,130
,,M17,M18,260
,,M18,M19,220
,,M19,M20,150
,,M20,M21,430
,,M21,M22,50
,,M22,M23,270
,,M23,M24,310
,,M24,M25,260
,,M25,M26,50
,,M26,M27,270
,,M27,M28,170
,,M28,M29,250
,,M29,M30,180
,,M30,M31,450
,,M31,M32,390
,,M32,M33,480
,,M33,M34,30
,,M34,M35,60
,,M35,M36,460
,,M36,M37,100
,,M37,M38,390
,,M38,M39,310
,,M39,M40,170
,,M40,M41,320
,,M41,M42,260
,,M42,M43,350
,,M43,M44,300
,,M44,M45,340
,,M45,M46,210
,,M46,M47,440
,,M47,M48,260
,,M48,M49,260
,,M49,M50,190
,,M50,M51,40
,,M51,M52,110
,,M52,M53,40
,,M53,M54,310
,,M54,M55,230
,,M55,M56,280
,,M56,M57,30
,,M57,M58,390
,,M58,M59,270
,,M59,M60,440
,,M60,M61,40
,,M61,M62,340
,,M62,M63,230
,,M63,M64,230
,,M64,M65,290
,,M65,M66,60
,,M66,M67,270
,,M67,M68,400
,,M68,M69,10
,,M69,M70,260
,,M70,M71,130
,,M71,M72,490
,,M72,M73,480
,,M73,M74,190
,,M74,M75,260
,,M75,M76,50
,,M76,M77,470
,,M77,M78,420
,,M78,M79,60
,,M79,M80,300
,,M80,M81,290
,,M81,M82,110
,,M82,M83,280
,,M83,M84,310
,,M84,M85,20
,,M85,M86,100
,,M86,M87,370
,,M87,M88,300
,,M88,M89,200
,,M89,M90,170
,,M90,M91,300
,,M91,M92,70
,,M92,M93,270
,,M93,M94,330
,,M94,M95,120
,,M95,M96,100
,,M96,M97,160
,,M97,M98,410
,,M98,M99,250
,,M99,M100,420
,,M100,M101,370
,,M101,M102,420
,,M102,M103,200
,,M103,M104,270
,,M104,M105,410
,,M105,M106,450
,,M106,M107,70
,,M107,M108,480
,,M108,M109,280
,,M109,M110,160
,,M110,M111,480
,,M111,M112,170
,,M112,M113,340
,,M113,M114,30
,,M114,M115,200
,,M115,M116,240
,,M116,M117,400
,,M117,M118,40
,,M118,M119,480
,,M119,M120,210
,,M120,M121,450
,,M121,M122,390
,,M122,M123,100
,,M123,M124,190
,,M124,M125,180
,,M125,M126,170
,,M126,M127,350
,,M127,M128,210
,,M128,M129,310
,,M129,M130,470
,,M130,M131,130
,,M131,M132,100
,,M132,M133,170
,,M133,M134,430
,,M134,M135,110
,,M135,M136,470
,,M136,M137,70
,,M137,M138,90
,,M138,M139,430
,,M139,M140,490
,,M140,M141,420
,,M141,M142,10
,,M142,M143,20
,,M143,M144,80
,,M144,M145,370
,,M145,M146,190
,,M146,M147,500
,,M147,M148,220
,,M148,M149,120
,,M149,M150,130
,,M150,M151,280
,,M151,M152,410
,,M152,M153,140
,,M153,M154,20
,,M154,M155,460
,,M155,M156,340
,,M156,M157,330
,,M157,M158,170
,,M158,M159,140
,,M159,M160,400
,,M160,M161,80
,,M161,M162,350
,,M162,M163,180
,,M163,M164,360
,,M164,M165,310
,,M165,M166,190
,,M166,M167,500
,,M167,M168,450
,,M168,M169,270
,,M169,M170,120
,,M170,M171,350
,,M171,M172,390
,,M172,M173,330
,,M173,M174,210
,,M174,M175,180
,,M175,M176,380
,,M176,M177,150
,,M177,M178,400
,,M178,M179,150
,,M179,M180,200
,,M180,M181,310
,,M181,M182,470
,,M182,M183,460
,,M183,M184,390
,,M184,M185,190
,,M185,M186,160
,,M186,M187,240
,,M187,M188,230
,,M188,M189,170
,,M189,M190,190
,,M190,M191,80
,,M191,M192,230
,,M192,M193,240
,,M193,M194,380
,,M194,M195,270
,,M195,M196,420
,,M196,M197,100
,,M197,M198,160
,,M198,M199,20
,,M199,M200,230
,,M200,M201,240
,,M201,M202,80
,,M202,M203,430
,,M203,M204,210
,,M204,M205,160
,,M205,M206,490
,,M206,M207,100
,,M207,M208,260
,,M208,M209,100
,,M209,M210,230
,,M210,M211,330
,,M211,M212,60
,,M212,M213,150
,,M213,M214,360
,,M214,M215,450
,,M215,M216,430
,,M216,M217,470
,,M217,M218,430
,,M218,M219,340
,,M219,M220,450
,,M220,M221,180
,,M221,M222,370
,,M222,M223,430
,,M223,M224,420
,,M224,M225,410
,,M225,M226,400
,,M226,M227,270
,,M227,M228,360
,,M228,M229,70
,,M229,M230,130
,,M230,M231,160
,,M231,M232,500
,,M232,M233,50
,,M233,M234,450
,,M234,M235,170
,,M235,M236,420
,,M236,M237,80
,,M237,M238,20
,,M238,M239,150
,,M239,M240,160
,,M240,M241,190
,,M241,M242,390
,,M242,M243,470
,,M243,M244,390
,,M244,M245,50
,,M245,M246,270
,,M246,M247,330
,,M247,M248,220
,,M248,M249,240
,,M249,M250,300
,,M250,M251,170
,,M251,M252,250
,,M252,M253,190
,,M253,M254,420
,,M254,M255,180
,,M255,M256,210
,,M256,M257,210
,,M257,M258,320
,,M258,M259,360
,,M259,M260,390
,,M260,M261,80
,,M261,M262,470
,,M262,M263,90
,,M263,M264,40
,,M264,M265,470
,,M265,M266,480
,,M266,M267,490
,,M267,M268,70
,,M268,M269,180
,,M269,M270,80
,,M270,M271,60
,,M271,M272,330
,,M272,M273,360
,,M273,M274,220
,,M274,M275,140
,,M275,M276,460
,,M276,M277,310
,,M277,M278,420
,,M278,M279,130
,,M279,M280,150
,,M280,M281,470
,,M281,M282,380
,,M282,M283,490
,,M283,M284,270
,,M284,M285,490
,,M285,M286,360
,,M286,M287,160
,,M287,M288,250
,,M288,M289,400
,,M289,M290,130
,,M290,M291,260
,,M291,M292,190
,,M292,M293,430
,,M293,M294,300
,,M294,M295,330
,,M295,M296,80
,,M296,M297,360
,,M297,M298,380
,,M298,M299,180
,,M299,M300,470
,,M300,M301,500
,,M301,M302,470
,,M302,M303,190
,,M303,M304,80
,,M304,M305,110
,,M305,M306,120
,,M306,M307,170
,,M307,M308,180
,,M308,M309,330
,,M309,M310,350
,,M310,M311,110
,,M44,E312,490
,,M131,E313,120
,,M115,E314,120
,,M49,E315,50
,,M201,E316,300
,,M208,E317,40
,,M185,E318,290
,,M63,E319,120
,,M195,E320,410
,,M64,E321,120
,,M46,E322,350
,,M121,E323,90
,,M180,E324,100
,,M258,E325,170
,,M11,E326,430
,,M293,E327,280
,,M84,E328,280
,,M284,E329,220
,,M3,E330,500
,,M10,E331,320
,,M174,E332,160
,,M302,E333,160
,,M185,E334,200
,,M39,E335,450
,,M39,E336,420
,,M186,E337,440
,,M239,E338,350
,,M148,E339,280
,,M81,E340,20
,,M228,E341,320
,,M98,E342,500
,,M294,E343,470
,,M305,E344,30
,,M188,E345,260
,,M116,E346,160
,,M213,E347,360
,,M40,E348,290
,,M306,E349,320
,,M6,E350,440
,,M71,E351,480
,,M202,E352,370
,,M35,E353,190
,,M257,E354,40
,,M130,E355,90
,,M155,E356,80
,,M152,E357,360
,,M38,E358,290
,,M222,E359,420
,,M146,E360,330
,,M222,E361,430
,,M250,E362,320
,,M52,E363,130
,,M234,E364,300
,,M223,E365,210
,,M203,E366,40
,,M245,E367,110
,,M82,E368,380
,,M164,E369,100
,,M162,E370,390
,,M259,E371,60
,,M291,E372,240
,,M297,E373,130
,,M169,E374,330
,,M85,E375,330
,,M130,E376,50
,,M285,E377,460
,,M69,E378,80
,,M254,E379,220
,,M11,E380,480
,,M100,E381,250
,,M128,E382,470
,,M119,E383,300
,,M145,E384,440
,,M71,E385,280
,,M144,E386,500
,,M29,E387,70
,,M254,E388,170
,,M256,E389,370
,,M118,E390,270
,,M94,E391,350
,,M205,E392,440
,,M44,E393,390
,,M176,E394,340
,,M24,E395,440
,,M119,E396,10
,,M58,E397,370
,,M62,E398,350
,,M178,E399,60
,,M250,E400,120
,,M43,E401,10
,,M162,E402,220
,,M156,E403,40
,,M204,E404,120
,,M252,E405,90
,,M2,E406,110
,,M204,E407,380
,,M280,E408,370
,,M183,E409,120
,,M94,E410,490
,,M0,E411,460
,,M125,E412,40
,,M205,E413,490
,,M47,E414,320
,,M280,E415,350
,,M40,E416,470
,,M206,E417,150
,,M256,E418,490
,,M184,E419,20
,,M141,E420,20
,,M9,E421,200
,,M162,E422,270
,,M53,E423,10
,,M218,E424,460
,,M58,E425,180
,,M222,E426,90
,,M310,E427,170
,,M176,E428,290
,,M277,E429,50
,,M300,E430,90
,,M34,E431,250
,,M117,E432,490
,,M308,E433,280
,,M131,E434,300
,,M275,E435,290
,,M309,E436,450
,,M238,E437,240
,,M165,E438,240
,,M66,E439,260
,,M37,E440,90
,,M195,E441,140
,,M130,E442,60
