id,type,source,target,weight
,,M0,M1,400
,,M1,M2,200
,,M2,M3,180
,,M3,M4,230
,,M4,M5,310
,,M5,M6,460
,,M6,M7,380
,,M7,M8,240
,,M8,M9,120
,,M9,M10,140
,,M10,M11,420
,,M11,M12,350
,,M12,M13,40
,,M13,M14,40
,,M14,M15,350
,,M15,M16,210
,,M16,M17,300
,,M17,M18,300
,,M18,M19,10
,,M19,M20,160
,,M20,M21,230
,,M21,M22,300
,,M22,M23,420
,,M23,M24,120
,,M24,M25,30
,,M25,M26,480
,,M26,M27,460
,,M27,M28,240
,,M28,M29,270
,,M29,M30,340
,,M30,M31,180
,,M31,M32,420
,,M32,M33,280
,,M33,M34,490
,,M34,M35,410
,,M35,M36,440
,,M36,M37,140
,,M37,M38,210
,,M38,M39,390
,,M39,M40,250
,,M40,M41,40
,,M41,M42,430
,,M42,M43,470
,,M43,M44,150
,,M44,M45,60
,,M45,M46,160
,,M46,M47,30
,,M47,M48,40
,,M48,M49,310
,,M49,M50,450
,,M50,M51,140
,,M51,M52,410
,,M52,M53,420
,,M53,M54,420
,,M54,M55,370
,,M55,M56,380
,,M56,M57,110
,,M57,M58,20
,,M58,M59,420
,,M59,M60,360
,,M60,M61,70
,,M61,M62,150
,,M62,M63,30
,,M63,M64,390
,,M64,M65,480
,,M65,M66,220
,,M66,M67,120
,,M67,M68,40
,,M68,M69,480
,,M69,M70,260
,,M70,M71,20
,,M71,M72,80
,,M72,M73,230
,,M73,M74,210
,,M74,M75,130
,,M75,M76,410
,,M76,M77,110
,,M77,M78,210
,,M78,M79,480
,,M79,M80,220
,,M80,M81,340
,,M81,M82,90
,,M82,M83,290
,,M83,M84,140
,,M84,M85,180
,,M85,M86,190
,,M86,M87,40
,,M87,M88,240
,,M88,M89,250
,,M89,M90,280
,,M90,M91,420
,,M91,M92,340
,,M92,M93,120
,,M93,M94,260
,,M94,M95,140
,,M95,M96,280
,,M96,M97,180
,,M97,M98,320
,,M98,M99,350
,,M99,M100,240
,,M100,M101,370
,,M101,M102,210
,,M102,M103,260
,,M103,M104,450
,,M104,M105,110
,,M105,M106,480
,,M106,M107,40
,,M107,M108,150
,,M108,M109,260
,,M109,M110,370
,,M110,M111,30
,,M111,M112,170
,,M112,M113,150
,,M113,M114,150
,,M114,M115,120
,,M115,M116,70
,,M116,M117,190
,,M117,M118,120
,,M118,M119,50
,,M119,M120,230
,,M120,M121,40
,,M121,M122,390
,,M122,M123,140
,,M123,M124,250
,,M124,M125,110
,,M125,M126,330
,,M126,M127,80
,,M127,M128,70
,,M128,M129,100
,,M129,M130,270
,,M130,M131,250
,,M131,M132,490
,,M132,M133,440
,,M133,M134,500
,,M134,M135,320
,,M135,M136,90
,,M136,M137,190
,,M137,M138,400
,,M138,M139,290
,,M139,M140,470
,,M140,M141,260
,,M141,M142,350
,,M142,M143,330
,,M143,M144,290
,,M144,M145,190
,,M145,M146,10
,,M146,M147,400
,,M147,M148,440
,,M148,M149,280
,,M149,M150,130
,,M150,M151,160
,,M151,M152,320
,,M152,M153,150
,,M153,M154,330
,,M154,M155,200
,,M155,M156,130
,,M156,M157,30
,,M157,M158,210
,,M158,M159,100
,,M159,M160,210
,,M160,M161,310
,,M161,M162,310
,,M162,M163,260
,,M163,M164,290
,,M164,M165,180
,,M165,M166,60
,,M166,M167,320
,,M167,M168,130
,,M168,M169,340
,,M169,M170,70
,,M170,M171,500
,,M171,M172,330
,,M172,M173,30
,,M173,M174,80
,,M174,M175,70
,,M175,M176,430
,,M176,M177,150
,,M177,M178,280
,,M178,M179,350
,,M179,M180,460
,,M180,M181,170
,,M181,M182,470
,,M182,M183,500
,,M183,M184,450
,,M184,M185,140
,,M185,M186,60
,,M186,M187,380
,,M187,M188,20
,,M188,M189,390
,,M189,M190,260
,,M190,M191,40
,,M191,M192,420
,,M192,M193,130
,,M193,M194,250
,,M194,M195,270
,,M195,M196,390
,,M196,M197,380
,,M197,M198,360
,,M198,M199,140
,,M199,M200,140
,,M200,M201,280
,,M201,M202,150
,,M202,M203,80
,,M203,M204,360
,,M204,M205,220
,,M205,M206,290
,,M206,M207,380
,,M207,M208,390
,,M208,M209,500
,,M209,M210,300
,,M210,M211,110
,,M211,M212,350
,,M212,M213,470
,,M213,M214,160
,,M214,M215,220
,,M215,M216,240
,,M216,M217,320
,,M217,M218,460
,,M218,M219,40
,,M219,M220,280
,,M220,M221,220
,,M221,M222,120
,,M222,M223,60
,,M223,M224,40
,,M224,M225,110
,,M225,M226,80
,,M226,M227,100
,,M227,M228,200
,,M228,M229,230
,,M229,M230,260
,,M230,M231,250
,,M231,M232,310
,,M232,M233,370
,,M233,M234,220
,,M234,M235,40
,,M235,M236,110
,,M236,M237,360
,,M237,M238,430
,,M238,M239,380
,,M239,M240,500
,,M240,M241,350
,,M241,M242,290
,,M242,M243,250
,,M243,M244,150
,,M244,M245,400
,,M245,M246,170
,,M246,M247,500
,,M247,M248,150
,,M248,M249,260
,,M25,E250,340
,,M225,E251,350
,,M222,E252,500
,,M133,E253,470
,,M234,E254,80
,,M149,E255,210
,,M167,E256,200
,,M161,E257,460
,,M248,E258,40
,,M122,E259,400
,,M241,E260,270
,,M93,E261,170
,,M217,E262,500
,,M42,E263,110
,,M91,E264,20
,,M117,E265,340
,,M206,E266,170
,,M158,E267,260
,,M176,E268,160
,,M151,E269,290
,,M168,E270,150
,,M154,E271,330
,,M14,E272,460
,,M91,E273,380
,,M245,E274,310
,,M13,E275,260
,,M90,E276,280
,,M131,E277,150
,,M246,E278,160
,,M21,E279,150
,,M232,E280,360
,,M135,E281,120
,,M7,E282,120
,,M27,E283,30
,,M105,E284,70
,,M162,E285,350
,,M138,E286,450
,,M203,E287,220
,,M210,E288,460
,,M39,E289,340
,,M100,E290,470
,,M223,E291,170
,,M71,E292,140
,,M183,E293,500
,,M195,E294,220
,,M0,E295,260
,,M73,E296,50
,,M43,E297,90
,,M112,E298,220
,,M119,E299,380
,,M185,E300,160
,,M37,E301,250
,,M106,E302,270
,,M249,E303,400
,,M45,E304,150
,,M156,E305,490
,,M137,E306,90
,,M21,E307,460
,,M230,E308,130
,,M39,E309,90
,,M242,E310,100
,,M235,E311,250
,,M246,E312,80
,,M203,E313,500
,,M169,E314,350
,,M210,E315,430
,,M37,E316,330
,,M55,E317,200
,,M120,E318,240
,,M103,E319,150
,,M201,E320,420
,,M233,E321,150
,,M92,E322,330
,,M8,E323,420
,,M173,E324,350
,,M236,E325,240
,,M212,E326,50
,,M45,E327,30
,,M241,E328,140
,,M139,E329,410
,,M49,E330,40
,,M183,E331,10
,,M5,E332,250
,,M22,E333,430
,,M202,E334,410
,,M212,E335,500
,,M54,E336,220
,,M12,E337,230
,,M188,E338,470
,,M179,E339,300
,,M134,E340,380
,,M188,E341,400
,,M176,E342,120
,,M8,E343,230
,,M45,E344,200
,,M99,E345,410
,,M224,E346,500
,,M16,E347,70
,,M232,E348,380
,,M14,E349,350
,,M87,E350,80
,,M102,E351,100
,,M51,E352,250
,,M34,E353,400
,,M136,E354,370
,,M121,E355,490
,,M129,E356,230
,,M121,E357,470
,,M74,E358,350
,,M5,E359,440
,,M179,E360,470
,,M243,E361,200
,,M58,E362,370
,,M168,E363,360
,,M36,E364,480
,,M14,E365,380
,,M155,E366,200
,,M206,E367,360
,,M46,E368,80
,,M247,E369,270
,,M9,E370,250
,,M37,E371,460
,,M38,E372,200
,,M60,E373,330
,,M34,E374,350
,,M29,E375,370
,,M64,E376,480
,,M200,E377,420
,,M138,E378,120
,,M174,E379,40
,,M31,E380,460
,,M83,E381,230
,,M221,E382,50
,,M23,E383,170
,,M128,E384,460
,,M12,E385,450
,,M186,E386,40
,,M61,E387,20
,,M55,E388,150
,,M217,E389,180
,,M49,E390,250
,,M77,E391,470
,,M86,E392,230
,,M207,E393,440
,,M61,E394,450
,,M205,E395,370
,,M79,E396,420
,,M167,E397,20
,,M98,E398,210
,,M208,E399,180
,,M181,E400,170
,,M236,E401,410
,,M141,E402,420
,,M90,E403,420
,,M87,E404,410
,,M212,E405,10
,,M151,E406,410
,,M143,E407,220
,,M5,E408,470
,,M51,E409,20
,,M71,E410,280
,,M162,E411,450
,,M125,E412,470
,,M197,E413,260
,,M130,E414,110
,,M187,E415,340
,,M221,E416,50
,,M149,E417,490
,,M157,E418,220
,,M227,E419,290
,,M47,E420,470
,,M35,E421,310
,,M88,E422,300
,,M104,E423,90
,,M57,E424,350
,,M97,E425,410
,,M154,E426,230
,,M141,E427,340
,,M190,E428,120
,,M115,E429,330
,,M174,E430,370
,,M102,E431,270
,,M73,E432,380
,,M99,E433,440
,,M220,E434,100
,,M114,E435,150
,,M145,E436,240
,,M222,E437,70
,,M100,E438,480
,,M180,E439,460
,,M96,E440,140
,,M13,E441,280
,,M233,E442,120
,,M146,E443,40
,,M171,E444,50
,,M197,E445,180
,,M117,E446,350
,,M61,E447,310
,,M117,E448,130
,,M116,E449,420
,,M97,E450,400
,,M64,E451,330
,,M61,E452,10
,,M234,E453,180
,,M122,E454,230
,,M64,E455,130
,,M183,E456,30
,,M241,E457,380
,,M86,E458,330
,,M85,E459,50
,,M152,E460,270
,,M155,E461,60
,,M159,E462,420
,,M99,E463,380
,,M156,E464,230
,,M232,E465,370
,,M46,E466,210
,,M49,E467,260
,,M22,E468,20
,,M84,E469,440
,,M220,E470,180
,,M187,E471,470
,,M249,E472,250
,,M88,E473,350
,,M137,E474,250
,,M3,E475,270
,,M216,E476,70
,,M82,E477,320
,,M223,E478,290
,,M198,E479,20
,,M179,E480,150
,,M148,E481,180
,,M97,E482,250
,,M117,E483,390
,,M153,E484,170
,,M207,E485,130
,,M49,E486,500
,,M233,E487,280
,,M190,E488,250
,,M76,E489,440
,,M144,E490,180
,,M154,E491,140
,,M30,E492,250
,,M83,E493,270
,,M89,E494,290
,,M158,E495,230
,,M165,E496,420
,,M78,E497,410
,,M15,E498,100
,,M43,E499,450
,,M75,E500,340
,,M11,E501,210
,,M143,E502,190
,,M109,E503,50
,,M50,E504,20
,,M58,E505,190
,,M2,E506,70
,,M171,E507,230
,,M70,E508,30
,,M212,E509,350
,,M46,E510,380
,,M125,E511,270
,,M136,E512,140
,,M166,E513,10
,,M143,E514,80
,,M26,E515,270
,,M104,E516,100
,,M79,E517,230
,,M76,E518,490
,,M217,E519,250
,,M219,E520,150
,,M109,E521,110
,,M166,E522,500
,,M204,E523,40
,,M83,E524,460
,,M187,E525,230
,,M226,E526,50
,,M115,E527,440
,,M239,E528,300
,,M106,E529,60
,,M202,E530,320
,,M41,E531,220
,,M100,E532,500
,,M206,E533,430
,,M140,E534,350
,,M163,E535,370
,,M95,E536,500
,,M165,E537,440
,,M196,E538,60
,,M215,E539,20
,,M107,E540,380
,,M217,E541,470
,,M122,E542,420
,,M5,E543,60
,,M167,E544,280
,,M222,E545,230
,,M112,E546,250
,,M190,E547,320
,,M16,E548,220
,,M235,E549,180
,,M155,E550,390
,,M182,E551,370
,,M127,E552,200
,,M223,E553,40
,,M130,E554,310
,,M152,E555,60
,,M53,E556,490
,,M147,E557,230
,,M165,E558,260
,,M31,E559,60
,,M166,E560,450
,,M196,E561,270
,,M238,E562,170
,,M40,E563,180
,,M146,E564,10
,,M243,E565,320
,,M207,E566,110
,,M207,E567,120
,,M42,E568,150
,,M139,E569,150
,,M20,E570,390
,,M210,E571,450
,,M24,E572,480
,,M104,E573,310
,,M187,E574,10
,,M210,E575,340
,,M9,E576,130
,,M212,E577,320
,,M243,E578,360
,,M55,E579,190
,,M23,E580,60
,,M28,E581,310
,,M167,E582,350
,,M200,E583,20
,,M80,E584,220
,,M121,E585,40
,,M8,E586,180
,,M132,E587,30
,,M71,E588,20
,,M144,E589,420
,,M81,E590,160
,,M235,E591,170
,,M64,E592,50
,,M236,E593,170
,,M16,E594,490
,,M158,E595,290
,,M141,E596,380
,,M170,E597,110
,,M51,E598,340
,,M85,E599,410
,,M185,E600,120
,,M1,E601,370
,,M112,E602,460
,,M234,E603,330
,,M78,E604,430
,,M96,E605,70
,,M238,E606,460
,,M224,E607,310
,,M134,E608,340
,,M178,E609,180
,,M90,E610,30
,,M95,E611,260
,,M68,E612,40
,,M229,E613,50
,,M211,E614,140
,,M214,E615,250
,,M44,E616,180
,,M12,E617,210
,,M188,E618,410
,,M242,E619,300
,,M202,E620,440
,,M39,E621,110
,,M43,E622,280
,,M112,E623,130
,,M47,E624,90
,,M240,E625,410
,,M214,E626,120
,,M100,E627,40
,,M119,E628,300
,,M32,E629,370
,,M232,E630,120
,,M224,E631,190
,,M90,E632,50
,,M103,E633,280
,,M139,E634,220
,,M20,E635,430
,,M241,E636,460
,,M13,E637,170
,,M95,E638,430
,,M186,E639,20
,,M124,E640,50
,,M119,E641,420
,,M170,E642,130
,,M138,E643,130
,,M86,E644,190
,,M128,E645,110
,,M151,E646,210
,,M101,E647,260
,,M177,E648,40
,,M102,E649,160
,,M4,E650,320
,,M186,E651,60
,,M177,E652,380
,,M174,E653,60
,,M140,E654,290
,,M210,E655,30
,,M23,E656,30
,,M112,E657,430
,,M107,E658,480
,,M216,E659,260
,,M63,E660,40
,,M205,E661,70
,,M58,E662,120
,,M119,E663,290
,,M31,E664,370
,,M90,E665,60
,,M174,E666,480
,,M215,E667,480
,,M117,E668,390
,,M190,E669,170
,,M49,E670,390
,,M243,E671,410
,,M245,E672,30
,,M119,E673,190
,,M218,E674,80
,,M39,E675,140
,,M223,E676,150
