id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E1238,,E390,,,,0.008,
,,,E553,,E631,,,,0.002,
,,,E872,,E920,,,,0.004,
,,,E1068,,E679,,,,0.007,
,,,E1200,,E628,,,,0.003,
,,,E577,,E881,,,,0.004,
,,,E728,,E923,,,,0.002,
,,,E426,,E860,,,,0.003,
,,,E364,,E596,,,,0.006,
,,,E1207,,E971,,,,0.006,
,,,E1137,,E640,,,,0.004,
,,,E1052,,E638,,,,0.006,
,,,E1124,,E694,,,,0.001,
,,,E1205,,E1240,,,,0.006,
,,,E863,,E961,,,,0.005,
,,,E1062,,E917,,,,0.002,
,,,E1048,,E844,,,,0.006,
,,,E707,,E990,,,,0.001,
,,,E1117,,E469,,,,0.003,
,,,E1202,,E496,,,,0.002,
,,,E1109,,E1244,,,,0.001,
,,,E459,,E641,,,,0.003,
,,,E989,,E997,,,,0.008,
,,,E1092,,E1193,,,,0.007,
,,,E1204,,E904,,,,0.004,
,,,E473,,E639,,,,0.007,
,,,E1036,,E402,,,,0.002,
,,,E1222,,E908,,,,0.008,
,,,E509,,E873,,,,0.005,
,,,E1100,,E627,,,,0.007,
,,,E545,,E890,,,,0.003,
,,,E1080,,E761,,,,0.009,
,,,E1044,,E1234,,,,0.008,
,,,E788,,E993,,,,0.006,
,,,E1238,,E389,,,,0.001,
,,,E1051,,E1210,,,,0.008,
,,,E459,,E844,,,,0.008,
,,,E358,,E775,,,,0.009,
,,,E1172,,E837,,,,0.004,
,,,E447,,E976,,,,0.005,
,,,E351,,E722,,,,0.004,
,,,E334,,E708,,,,0.008,
,,,E1098,,E396,,,,0.007,
,,,E1053,,E1094,,,,0.004,
,,,E1184,,E445,,,,0.007,
,,,E428,,E462,,,,0.008,
,,,E647,,E810,,,,0.009,
,,,E1232,,E319,,,,0.001,
,,,E847,,E920,,,,0.002,
,,,E1226,,E552,,,,0.001,
,,,E1104,,E497,,,,0.002,
,,,E1003,,E812,,,,0.004,
,,,E528,,E741,,,,0.005,
,,,E492,,E502,,,,0.007,
,,,E611,,E976,,,,0.008,
,,,E637,,E971,,,,0.007,
,,,E578,,E603,,,,0.006,
,,,E511,,E590,,,,0.007,
,,,E1007,,E943,,,,0.006,
,,,E1008,,E348,,,,0.002,
,,,E515,,E809,,,,0.009,
,,,E1106,,E828,,,,0.002,
,,,E691,,E925,,,,0.007,
,,,E421,,E668,,,,0.002,
,,,E498,,E944,,,,0.008,
,,,E1203,,E898,,,,0.004,
,,,E507,,E676,,,,0.006,
,,,E685,,E953,,,,0.008,
,,,E579,,E950,,,,0.001,
,,,E1247,,E679,,,,0.002,
,,,E1164,,E893,,,,0.004,
