id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,43,,89,,,,0.001,
,,,55,,96,,,,0.002,
,,,59,,89,,,,0.008,
,,,93,,111,,,,0.004,
,,,46,,67,,,,0.009,
,,,52,,91,,,,0.006,
,,,65,,72,,,,0.007,
,,,56,,117,,,,0.001,
,,,46,,60,,,,0.002,
,,,40,,104,,,,0.002,
,,,73,,109,,,,0.004,
,,,76,,102,,,,0.004,
,,,54,,65,,,,0.005,
,,,53,,90,,,,0.003,
,,,39,,113,,,,0.003,
,,,70,,107,,,,0.001,
,,,89,,104,,,,0.002,
,,,35,,86,,,,0.008,
,,,50,,61,,,,0.009,
,,,49,,72,,,,0.009,
,,,48,,52,,,,0.001,
,,,48,,122,,,,0.005,
,,,83,,124,,,,0.007,
,,,83,,96,,,,0.007,
,,,41,,54,,,,0.005,
,,,42,,87,,,,0.001,
,,,51,,72,,,,0.008,
,,,34,,83,,,,0.006,
,,,42,,112,,,,0.006,
,,,85,,118,,,,0.004,
,,,42,,53,,,,0.001,
,,,34,,94,,,,0.006,
,,,53,,116,,,,0.007,
,,,41,,88,,,,0.009,
,,,69,,76,,,,0.007,
,,,35,,111,,,,0.005,
,,,39,,105,,,,0.009,
,,,38,,57,,,,0.008,
,,,96,,102,,,,0.007,
,,,37,,89,,,,0.003,
,,,62,,72,,,,0.002,
,,,90,,104,,,,0.001,
,,,43,,62,,,,0.009,
,,,64,,122,,,,0.006,
,,,115,,120,,,,0.007,
,,,87,,105,,,,0.002,
,,,33,,58,,,,0.008,
,,,83,,121,,,,0.004,
,,,72,,118,,,,0.009,
,,,92,,114,,,,0.004,
