i,i,i,i,i,i,i
1,TESTA01,TESTA01-1,B01-X01,T201-X01,1.00E-06,
2,TESTA01,TESTA01-2,B01-X01,T201-X02,1.00E-06,
3,TESTA01,TESTA01-3,B01-X01,T201-X03,1.00E-06,
4,TESTA01,TESTA01-4,B01-X01,C01-X01,1.00E-06,
5,TESTA01,TESTA01-5,B01-X01,C01-X02,1.00E-06,
6,TESTA01,TESTA01-6,B01-X01,C01-X03,1.00E-06,
7,TESTA01,TESTA01-7,B01-X01,T202-X01,1.00E-06,
8,TESTA01,TESTA01-8,B01-X01,T202-X02,1.00E-06,
9,TESTA01,TESTA01-9,B01-X01,T202-X03,1.00E-06,
10,TESTA01,TESTA01-10,B01-X01,T203-X01,1.00E-06,
11,TESTA01,TESTA01-11,B01-X01,T203-X02,1.00E-06,
12,TESTA01,TESTA01-12,B01-X01,T203-X03,1.00E-06,
13,TESTA01,TESTA01-13,B01-X01,T506-X01,1.00E-06,
14,TESTA01,TESTA01-14,B01-X01,T506-X02,1.00E-06,
15,TESTA01,TESTA01-15,B01-X01,T506-X03,1.00E-06,
16,TESTA01,TESTA01-16,B01-X01,T253-X01,1.00E-06,
17,TESTA01,TESTA01-17,B01-X01,T253-X02,1.00E-06,
18,TESTA01,TESTA01-18,B01-X01,T253-X03,1.00E-06,
19,TESTA01,TESTA01-19,B01-X01,T254-X01,1.00E-06,
20,TESTA01,TESTA01-20,B01-X01,T254-X02,1.00E-06,
21,TESTA01,TESTA01-21,B01-X01,T254-X03,1.00E-06,
22,TESTA01,TESTA01-22,B01-X01,F01-X01,1.00E-06,
23,TESTA01,TESTA01-23,B01-X01,F01-X02,1.00E-06,
24,TESTA01,TESTA01-24,B01-X01,F01-X03,1.00E-06,
25,TESTA01,TESTA01-25,B01-X01,F01-X04,1.00E-06,
26,TESTA01,TESTA01-26,T204-X01,T201-X01,1.00E-06,
27,TESTA01,TESTA01-27,T204-X01,T201-X02,1.00E-06,
28,TESTA01,TESTA01-28,T204-X01,T201-X03,1.00E-06,
29,TESTA01,TESTA01-29,T204-X01,C01-X01,1.00E-06,
30,TESTA01,TESTA01-30,T204-X01,C01-X02,1.00E-06,
31,TESTA01,TESTA01-31,T204-X01,C01-X03,1.00E-06,
32,TESTA01,TESTA01-32,T204-X01,T202-X01,1.00E-06,
33,TESTA01,TESTA01-33,T204-X01,T202-X02,1.00E-06,
34,TESTA01,TESTA01-34,T204-X01,T202-X03,1.00E-06,
35,TESTA01,TESTA01-35,T204-X01,T203-X01,1.00E-06,
36,TESTA01,TESTA01-36,T204-X01,T203-X02,2.00E-06,
37,TESTA01,TESTA01-37,T204-X01,T203-X03,2.00E-06,
38,TESTA01,TESTA01-38,T204-X01,T506-X01,2.00E-06,
39,TESTA01,TESTA01-39,T204-X01,T506-X02,2.00E-06,
40,TESTA01,TESTA01-40,T204-X01,T506-X03,2.00E-06,
41,TESTA01,TESTA01-41,T204-X01,T253-X01,2.00E-06,
42,TESTA01,TESTA01-42,T204-X01,T253-X02,2.00E-06,
43,TESTA01,TESTA01-43,T204-X01,T253-X03,2.00E-06,
44,TESTA01,TESTA01-44,T204-X01,T254-X01,2.00E-06,
45,TESTA01,TESTA01-45,T204-X01,T254-X02,2.00E-06,
46,TESTA01,TESTA01-46,T204-X01,T254-X03,2.00E-06,
47,TESTA01,TESTA01-47,T204-X01,F01-X01,2.00E-06,
48,TESTA01,TESTA01-48,T204-X01,F01-X02,2.00E-06,
49,TESTA01,TESTA01-49,T204-X01,F01-X03,2.00E-06,
50,TESTA01,TESTA01-50,T204-X01,F01-X04,2.00E-06,
51,TESTA01,TESTA01-51,T201-X01,T503-X01,2.00E-06,
52,TESTA01,TESTA01-52,T201-X01,T503-X02,2.00E-06,
53,TESTA01,TESTA01-53,T503-X02,B01-X01,2.00E-06,
54,TESTA01,TESTA01-54,T253-X01,T505-X01,2.00E-06,
55,TESTA01,TESTA01-55,T253-X02,T505-X01,2.00E-06,
56,TESTA01,TESTA01-56,T253-X03,T505-X01,2.00E-06,
57,TESTA01,TESTA01-57,T505-X01,B01-X01,2.00E-06,
58,TESTA01,TESTA01-58,T203-X01,T507-X05,2.00E-06,
59,TESTA01,TESTA01-59,T507-X05,T204-X01,2.00E-06,
60,TESTA01,TESTA01-60,C01-X01,C02-X06,2.00E-06,
61,TESTA01,TESTA01-61,C01-X01,C02-X07,2.00E-06,
62,TESTA01,TESTA01-62,C01-X01,C02-X08,2.00E-06,
63,TESTA01,TESTA01-63,C01-X01,T251-X03,2.00E-06,
64,TESTA01,TESTA01-64,C01-X01,T252-X03,2.00E-06,
65,TESTA01,TESTA01-65,C01-X01,T253-X03,2.00E-06,
66,TESTA01,TESTA01-66,C02-X06,B02-X01,2.00E-06,
67,TESTA01,TESTA01-67,C02-X06,B02-X02,2.00E-06,
68,TESTA01,TESTA01-68,C02-X06,B02-X03,2.00E-06,
69,TESTA01,TESTA01-69,T254-X01,B02-X13,2.00E-06,
70,TESTA01,TESTA01-70,T254-X01,T501-X05G,2.00E-06,
71,TESTA01,TESTA01-71,T254-X01,T502-X06G,2.00E-06,
72,TESTA01,TESTA01-72,T254-X01,T503-X01,2.00E-06,
73,TESTA01,TESTA01-73,T254-X01,T201-X01,2.00E-06,
74,TESTA01,TESTA01-74,T254-X01,T202-X01,3.00E-06,
75,TESTA01,TESTA01-75,T254-X01,T202-X02,3.00E-06,
76,TESTA01,TESTA01-76,T254-X01,T203-X01,3.00E-06,
77,TESTA01,TESTA01-77,T254-X01,T203-X02,3.00E-06,
78,TESTA01,TESTA01-78,T254-X01,T401-X01,3.00E-06,
79,TESTA01,TESTA01-79,T503-X01,B01-X01,3.00E-06,
80,TESTA01,TESTA01-80,T501-X05G,B01-X01,3.00E-06,
81,TESTA01,TESTA01-81,T502-X06G,B01-X01,3.00E-06,
82,TESTA01,TESTA01-82,T201-X01,T402-X01,3.00E-06,
83,TESTA01,TESTA01-83,T202-X01,T403-X01,3.00E-06,
84,TESTA01,TESTA01-84,T202-X01,T251-X02,3.00E-06,
85,TESTA01,TESTA01-85,T202-X01,T251-X03,3.00E-06,
86,TESTA01,TESTA01-86,T202-X01,T252-X01,3.00E-06,
87,TESTA01,TESTA01-87,T202-X01,T252-X02,3.00E-06,
88,TESTA01,TESTA01-88,T202-X01,T253-X01,3.00E-06,
89,TESTA01,TESTA01-89,T202-X01,T253-X02,3.00E-06,
90,TESTA01,TESTA01-90,T402-X01,T254-X01,3.00E-06,
91,TESTA01,TESTA01-91,T402-X01,T254-X02,3.00E-06,
92,TESTA01,TESTA01-92,T402-X01,T255-X01,3.00E-06,
93,TESTA01,TESTA01-93,T402-X01,T255-X02,3.00E-06,
94,TESTA01,TESTA01-94,T402-X01,T301-X01,3.00E-06,
95,TESTA01,TESTA01-95,T402-X01,T301-X02,3.00E-06,
96,TESTA01,TESTA01-96,T402-X01,T301-X03,3.00E-06,
97,TESTA01,TESTA01-97,T402-X01,B01-X01,3.00E-06,
98,TESTA01,TESTA01-98,T402-X01,B01-X02,3.00E-06,
99,TESTA01,TESTA01-99,B01-X01,B02-X01,3.00E-06,
100,TESTA01,TESTA01-100,B01-X01,B02-X02,3.00E-06,
101,TESTA01,TESTA01-101,B01-X01,B02-X03,3.00E-06,
102,TESTA01,TESTA01-102,B01-X01,T401-X01,3.00E-06,
103,TESTA01,TESTA01-103,T204-X06,C01-X02,3.00E-06,
104,TESTA01,TESTA01-104,T204-X06,C01-X03,3.00E-06,
105,TESTA01,TESTA01-105,B01-X01,C01-X04,3.00E-06,
106,TESTA01,TESTA01-106,C01-X04,C02-X01,3.00E-06,
107,TESTA01,TESTA01-107,C01-X04,C02-X02,3.00E-06,
108,TESTA01,TESTA01-108,C01-X04,C02-X03,3.00E-06,
109,TESTA01,TESTA01-109,C01-X04,T203-X09,1.00E-06,
110,TESTA01,TESTA01-110,C01-X04,T401-X01,1.00E-06,
111,TESTA01,TESTA01-111,C01-X04,T251-X01,1.00E-06,
112,TESTA01,TESTA01-112,C01-X04,C03-X01,1.00E-06,
113,TESTA01,TESTA01-113,C01-X04,C03-X02,1.00E-06,
114,TESTA01,TESTA01-114,C01-X04,C03-X03,1.00E-06,
115,TESTA01,TESTA01-115,C01-X04,C03-X04,1.00E-06,
116,TESTA01,TESTA01-116,C03-X01,C04-X01,1.00E-06,
117,TESTA01,TESTA01-117,C03-X01,C04-X02,1.00E-06,
118,TESTA01,TESTA01-118,C03-X01,C04-X03,1.00E-06,
119,TESTA01,TESTA01-119,C03-X01,C04-X04,1.00E-06,
120,TESTA01,TESTA01-120,C03-X01,C04-X05,1.00E-06,
121,TESTA01,TESTA01-121,C03-X01,C05-X01,1.00E-06,
122,TESTA01,TESTA01-122,C03-X01,C05-X02,1.00E-06,
123,TESTA01,TESTA01-123,C03-X01,C05-X03,1.00E-06,
124,TESTA01,TESTA01-124,C03-X01,C06-X01,1.00E-06,
125,TESTA01,TESTA01-125,C03-X01,C06-X02,1.00E-06,
126,TESTA01,TESTA01-126,C03-X01,C06-X03,1.00E-06,
127,TESTA01,TESTA01-127,C03-X01,C06-X04,1.00E-06,
128,TESTA01,TESTA01-128,C03-X01,D01-X01,1.00E-06,
129,TESTA01,TESTA01-129,C03-X01,D01-X02,1.00E-06,
130,TESTA01,TESTA01-130,C03-X01,D01-X03,1.00E-06,
131,TESTA01,TESTA01-131,C03-X01,F03-X01,1.00E-06,
132,TESTA01,TESTA01-132,C03-X01,F03-X02,1.00E-06,
133,TESTA01,TESTA01-133,F03-X01,T506-X01,1.00E-06,
134,TESTA01,TESTA01-134,F03-X01,T506-X02,1.00E-06,
135,TESTA01,TESTA01-135,F03-X01,T506-X03,1.00E-06,
136,TESTA01,TESTA01-136,F03-X01,T507-X01,1.00E-06,
137,TESTA01,TESTA01-137,T507-X01,T256-X01,1.00E-06,
138,TESTA01,TESTA01-138,T507-X01,T256-X02,1.00E-06,
139,TESTA01,TESTA01-139,T507-X01,T256-X03,1.00E-06,
140,TESTA01,TESTA01-140,T507-X01,D02-X10,1.00E-06,
141,TESTA01,TESTA01-141,T507-X01,C07-X01,1.00E-06,
142,TESTA01,TESTA01-142,T507-X01,C04-X04,1.00E-06,
143,TESTA01,TESTA01-143,T507-X01,C04-X05,1.00E-06,
144,TESTA01,TESTA01-144,C03-X02,T506-X01,1.00E-06,
145,TESTA01,TESTA01-145,C03-X02,T506-X02,2.00E-06,
146,TESTA01,TESTA01-146,C03-X02,T506-X03,2.00E-06,
