id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E262,,E606,,,,0.005,
,,,E538,,E717,,,,0.006,
,,,E299,,E876,,,,0.001,
,,,E659,,E974,,,,0.009,
,,,E721,,E885,,,,0.006,
,,,E254,,E698,,,,0.003,
,,,E526,,E676,,,,0.006,
,,,E281,,E505,,,,0.005,
,,,E695,,E992,,,,0.003,
,,,E510,,E847,,,,0.006,
,,,E751,,E902,,,,0.002,
,,,E360,,E568,,,,0.001,
,,,E422,,E477,,,,0.005,
,,,E466,,E575,,,,0.009,
,,,E648,,E939,,,,0.009,
,,,E370,,E971,,,,0.003,
,,,E294,,E817,,,,0.005,
,,,E666,,E695,,,,0.008,
,,,E655,,E696,,,,0.002,
,,,E266,,E361,,,,0.007,
,,,E321,,E656,,,,0.001,
,,,E479,,E562,,,,0.002,
,,,E290,,E591,,,,0.009,
,,,E311,,E867,,,,0.007,
,,,E479,,E984,,,,0.007,
,,,E755,,E979,,,,0.008,
,,,E722,,E801,,,,0.007,
,,,E316,,E955,,,,0.004,
,,,E557,,E793,,,,0.004,
,,,E701,,E896,,,,0.009,
,,,E632,,E922,,,,0.005,
,,,E637,,E953,,,,0.008,
,,,E428,,E492,,,,0.002,
,,,E669,,E916,,,,0.006,
,,,E416,,E795,,,,0.003,
,,,E286,,E989,,,,0.005,
,,,E554,,E830,,,,0.002,
,,,E299,,E657,,,,0.009,
,,,E718,,E807,,,,0.003,
,,,E708,,E795,,,,0.003,
,,,E357,,E511,,,,0.004,
,,,E695,,E910,,,,0.009,
,,,E708,,E998,,,,0.006,
,,,E726,,E750,,,,0.008,
,,,E700,,E727,,,,0.007,
,,,E321,,E772,,,,0.001,
,,,E428,,E918,,,,0.004,
,,,E754,,E987,,,,0.001,
,,,E356,,E688,,,,0.009,
,,,E527,,E945,,,,0.009,
,,,E653,,E897,,,,0.009,
,,,E307,,E394,,,,0.007,
,,,E703,,E782,,,,0.008,
,,,E344,,E852,,,,0.001,
,,,E702,,E896,,,,0.009,
,,,E260,,E468,,,,0.004,
,,,E432,,E601,,,,0.002,
,,,E817,,E907,,,,0.009,
,,,E337,,E909,,,,0.006,
,,,E747,,E812,,,,0.004,
,,,E478,,E981,,,,0.001,
,,,E257,,E343,,,,0.005,
,,,E792,,E997,,,,0.003,
,,,E276,,E944,,,,0.002,
,,,E641,,E935,,,,0.008,
,,,E367,,E441,,,,0.006,
,,,E542,,E936,,,,0.004,
,,,E572,,E736,,,,0.004,
,,,E546,,E949,,,,0.007,
,,,E868,,E974,,,,0.007,
,,,E287,,E759,,,,0.003,
,,,E285,,E908,,,,0.005,
,,,E680,,E944,,,,0.006,
,,,E465,,E494,,,,0.001,
,,,E447,,E995,,,,0.002,
,,,E307,,E565,,,,0.008,
,,,E430,,E630,,,,0.002,
,,,E766,,E945,,,,0.001,
,,,E640,,E926,,,,0.005,
,,,E463,,E784,,,,0.006,
,,,E490,,E630,,,,0.001,
,,,E333,,E498,,,,0.008,
,,,E324,,E616,,,,0.002,
,,,E555,,E988,,,,0.005,
,,,E340,,E969,,,,0.009,
,,,E516,,E694,,,,0.002,
,,,E265,,E858,,,,0.004,
,,,E667,,E718,,,,0.002,
,,,E276,,E409,,,,0.001,
,,,E358,,E556,,,,0.007,
,,,E755,,E974,,,,0.006,
,,,E324,,E857,,,,0.008,
,,,E666,,E865,,,,0.004,
,,,E329,,E904,,,,0.005,
,,,E599,,E813,,,,0.006,
,,,E828,,E884,,,,0.008,
,,,E385,,E462,,,,0.003,
,,,E440,,E941,,,,0.001,
,,,E709,,E711,,,,0.002,
,,,E293,,E962,,,,0.007,
,,,E666,,E906,,,,0.003,
,,,E743,,E955,,,,0.007,
,,,E621,,E650,,,,0.005,
,,,E569,,E846,,,,0.002,
,,,E642,,E858,,,,0.005,
,,,E296,,E559,,,,0.003,
,,,E577,,E892,,,,0.006,
,,,E707,,E768,,,,0.009,
,,,E443,,E872,,,,0.001,
,,,E372,,E645,,,,0.005,
,,,E840,,E960,,,,0.005,
,,,E320,,E397,,,,0.009,
,,,E787,,E867,,,,0.005,
,,,E380,,E883,,,,0.001,
,,,E336,,E373,,,,0.009,
,,,E611,,E650,,,,0.006,
,,,E295,,E537,,,,0.007,
,,,E311,,E362,,,,0.008,
,,,E645,,E728,,,,0.004,
,,,E441,,E509,,,,0.007,
,,,E802,,E960,,,,0.004,
,,,E536,,E853,,,,0.003,
,,,E358,,E746,,,,0.004,
,,,E533,,E879,,,,0.002,
,,,E291,,E298,,,,0.005,
,,,E341,,E946,,,,0.001,
,,,E343,,E469,,,,0.003,
,,,E508,,E579,,,,0.004,
,,,E454,,E558,,,,0.003,
,,,E564,,E890,,,,0.008,
,,,E400,,E769,,,,0.002,
,,,E611,,E928,,,,0.003,
,,,E327,,E633,,,,0.009,
,,,E556,,E770,,,,0.004,
,,,E448,,E460,,,,0.003,
,,,E523,,E984,,,,0.006,
,,,E934,,E976,,,,0.007,
,,,E335,,E473,,,,0.003,
,,,E362,,E743,,,,0.005,
,,,E869,,E904,,,,0.001,
,,,E676,,E992,,,,0.004,
,,,E297,,E883,,,,0.001,
,,,E374,,E500,,,,0.007,
,,,E427,,E446,,,,0.007,
,,,E317,,E370,,,,0.009,
,,,E616,,E944,,,,0.003,
,,,E354,,E769,,,,0.001,
,,,E392,,E484,,,,0.007,
,,,E592,,E688,,,,0.001,
,,,E505,,E894,,,,0.007,
,,,E353,,E677,,,,0.002,
,,,E560,,E937,,,,0.006,
,,,E740,,E850,,,,0.004,
,,,E392,,E617,,,,0.001,
,,,E355,,E898,,,,0.005,
