id,type,source,target,weight
,,M0,M1,110
,,M1,M2,490
,,M2,M3,450
,,M3,M4,120
,,M4,M5,30
,,M5,M6,430
,,M6,M7,130
,,M7,M8,420
,,M8,M9,420
,,M9,M10,420
,,M10,M11,430
,,M11,M12,280
,,M12,M13,490
,,M13,M14,220
,,M14,M15,440
,,M15,M16,360
,,M16,M17,150
,,M17,M18,220
,,M18,M19,290
,,M19,M20,470
,,M20,M21,400
,,M21,M22,80
,,M22,M23,280
,,M23,M24,50
,,M24,M25,220
,,M25,M26,260
,,M26,M27,200
,,M27,M28,230
,,M28,M29,180
,,M29,M30,490
,,M30,M31,260
,,M31,M32,300
,,M32,M33,470
,,M33,M34,270
,,M34,M35,220
,,M35,M36,420
,,M36,M37,300
,,M37,M38,90
,,M38,M39,100
,,M39,M40,320
,,M40,M41,490
,,M41,M42,100
,,M42,M43,470
,,M43,M44,430
,,M44,M45,270
,,M45,M46,370
,,M46,M47,260
,,M47,M48,330
,,M48,M49,290
,,M49,M50,130
,,M50,M51,410
,,M51,M52,370
,,M52,M53,50
,,M53,M54,350
,,M54,M55,450
,,M55,M56,400
,,M56,M57,270
,,M57,M58,150
,,M58,M59,150
,,M59,M60,140
,,M60,M61,240
,,M61,M62,280
,,M62,M63,180
,,M63,M64,40
,,M64,M65,50
,,M65,M66,120
,,M66,M67,190
,,M67,M68,270
,,M68,M69,280
,,M69,M70,430
,,M70,M71,10
,,M71,M72,390
,,M72,M73,380
,,M73,M74,90
,,M74,M75,340
,,M75,M76,370
,,M76,M77,460
,,M77,M78,270
,,M78,M79,440
,,M79,M80,280
,,M80,M81,40
,,M81,M82,110
,,M82,M83,420
,,M83,M84,70
,,M84,M85,440
,,M85,M86,390
,,M86,M87,430
,,M87,M88,430
,,M88,M89,50
,,M89,M90,240
,,M90,M91,380
,,M91,M92,220
,,M92,M93,140
,,M93,M94,350
,,M94,M95,100
,,M95,M96,490
,,M96,M97,110
,,M97,M98,110
,,M98,M99,280
,,M99,M100,300
,,M100,M101,60
,,M101,M102,180
,,M102,M103,440
,,M103,M104,80
,,M104,M105,310
,,M105,M106,100
,,M106,M107,280
,,M107,M108,30
,,M108,M109,280
,,M109,M110,330
,,M110,M111,360
,,M111,M112,390
,,M112,M113,30
,,M113,M114,40
