id,type,source,target,weight
,,M0,M1,380
,,M1,M2,480
,,M2,M3,120
,,M3,M4,270
,,M4,M5,190
,,M5,M6,50
,,M6,M7,260
,,M7,M8,490
,,M8,M9,30
,,M9,M10,80
,,M10,M11,170
,,M11,M12,320
,,M12,M13,260
,,M13,M14,80
,,M14,M15,170
,,M15,M16,50
,,M16,M17,20
,,M17,M18,250
,,M18,M19,410
,,M19,M20,420
,,M20,M21,20
,,M21,M22,210
,,M22,M23,440
,,M23,M24,140
,,M24,M25,460
,,M25,M26,220
,,M26,M27,50
,,M27,M28,240
,,M28,M29,310
,,M29,M30,170
,,M30,M31,140
,,M31,M32,120
,,M32,M33,380
,,M33,M34,370
,,M34,M35,490
,,M35,M36,460
,,M36,M37,80
,,M37,M38,340
,,M38,M39,130
,,M39,M40,480
,,M40,M41,160
,,M41,M42,350
,,M42,M43,110
,,M43,M44,180
,,M44,M45,30
,,M45,M46,270
,,M46,M47,180
,,M47,M48,480
,,M48,M49,70
,,M49,M50,140
,,M50,M51,20
,,M51,M52,460
,,M52,M53,100
,,M53,M54,280
,,M54,M55,170
,,M55,M56,460
,,M56,M57,100
,,M57,M58,430
,,M58,M59,410
,,M59,M60,430
,,M60,M61,70
,,M61,M62,240
,,M62,M63,440
,,M63,M64,360
,,M64,M65,290
,,M65,M66,220
,,M66,M67,390
,,M67,M68,230
,,M68,M69,110
,,M69,M70,120
,,M70,M71,370
,,M71,M72,210
,,M72,M73,330
,,M73,M74,150
,,M74,M75,440
,,M75,M76,30
,,M76,M77,80
,,M77,M78,60
,,M78,M79,400
,,M79,M80,120
,,M80,M81,210
,,M81,M82,460
,,M82,M83,180
,,M83,M84,470
,,M84,M85,210
,,M85,M86,140
,,M86,M87,230
,,M87,M88,420
,,M88,M89,350
,,M89,M90,170
,,M90,M91,260
,,M91,M92,480
,,M92,M93,500
,,M93,M94,30
,,M94,M95,60
,,M95,M96,140
,,M96,M97,380
,,M97,M98,70
,,M98,M99,30
,,M99,M100,330
,,M100,M101,460
,,M101,M102,340
,,M102,M103,340
,,M103,M104,470
,,M104,M105,150
,,M105,M106,480
,,M106,M107,140
,,M107,M108,350
,,M108,M109,500
,,M109,M110,340
,,M110,M111,30
,,M111,M112,300
,,M112,M113,90
,,M113,M114,410
,,M114,M115,460
,,M115,M116,500
,,M116,M117,240
,,M117,M118,50
,,M118,M119,120
,,M119,M120,400
,,M120,M121,100
,,M121,M122,400
,,M122,M123,310
,,M123,M124,220
,,M124,M125,120
,,M125,M126,30
,,M126,M127,140
,,M127,M128,460
,,M128,M129,210
,,M129,M130,410
,,M130,M131,60
,,M131,M132,70
,,M132,M133,100
,,M133,M134,30
,,M134,M135,100
,,M135,M136,230
,,M136,M137,380
,,M137,M138,80
,,M138,M139,280
,,M139,M140,270
,,M140,M141,300
,,M141,M142,500
,,M142,M143,40
,,M143,M144,350
,,M144,M145,350
,,M145,M146,90
,,M146,M147,400
,,M147,M148,420
,,M148,M149,280
,,M149,M150,220
,,M150,M151,340
,,M151,M152,370
,,M152,M153,190
,,M153,M154,100
,,M154,M155,390
,,M155,M156,460
,,M156,M157,130
,,M157,M158,190
,,M158,M159,470
,,M159,M160,420
,,M160,M161,210
,,M161,M162,240
,,M162,M163,380
,,M163,M164,280
,,M164,M165,130
,,M165,M166,320
,,M166,M167,290
,,M167,M168,80
,,M168,M169,140
,,M169,M170,50
,,M170,M171,230
,,M171,M172,10
,,M172,M173,160
,,M173,M174,210
,,M174,M175,40
,,M175,M176,310
,,M176,M177,390
,,M177,M178,150
,,M178,M179,180
,,M179,M180,130
,,M180,M181,290
,,M181,M182,200
,,M182,M183,500
,,M183,M184,200
,,M184,M185,170
,,M185,M186,430
,,M186,M187,100
,,M187,M188,300
,,M188,M189,230
,,M189,M190,250
,,M190,M191,230
,,M191,M192,250
,,M192,M193,70
,,M193,M194,470
,,M194,M195,190
,,M195,M196,310
,,M196,M197,20
,,M197,M198,40
,,M198,M199,20
,,M199,M200,350
,,M200,M201,90
,,M201,M202,430
,,M202,M203,360
,,M203,M204,40
,,M204,M205,50
,,M205,M206,210
,,M206,M207,190
,,M207,M208,120
,,M208,M209,200
,,M209,M210,470
,,M210,M211,240
,,M211,M212,300
,,M212,M213,310
,,M213,M214,240
,,M214,M215,160
,,M215,M216,230
,,M216,M217,370
,,M39,E218,270
,,M212,E219,420
,,M185,E220,390
,,M4,E221,480
,,M152,E222,480
,,M194,E223,20
,,M73,E224,430
,,M26,E225,240
,,M202,E226,310
,,M149,E227,390
,,M31,E228,250
,,M43,E229,180
,,M43,E230,240
,,M10,E231,150
,,M163,E232,250
,,M171,E233,460
,,M159,E234,400
,,M109,E235,420
,,M57,E236,270
,,M38,E237,470
,,M125,E238,290
,,M62,E239,200
,,M30,E240,410
,,M101,E241,460
,,M167,E242,160
,,M147,E243,170
,,M195,E244,200
,,M7,E245,480
,,M217,E246,190
,,M74,E247,30
,,M166,E248,470
,,M186,E249,490
,,M64,E250,430
,,M86,E251,330
,,M5,E252,20
,,M213,E253,120
,,M98,E254,190
,,M208,E255,310
,,M74,E256,370
,,M61,E257,350
,,M55,E258,420
,,M24,E259,360
,,M110,E260,440
,,M70,E261,30
,,M127,E262,400
,,M186,E263,450
,,M17,E264,40
,,M57,E265,430
,,M81,E266,380
,,M19,E267,350
,,M48,E268,360
,,M77,E269,260
,,M132,E270,10
