id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,165,,176,,,,0.007,
,,,175,,219,,,,0.005,
,,,89,,97,,,,0.007,
,,,62,,81,,,,0.008,
,,,154,,195,,,,0.006,
,,,166,,241,,,,0.003,
,,,73,,195,,,,0.006,
,,,79,,212,,,,0.001,
,,,106,,240,,,,0.007,
,,,122,,211,,,,0.007,
,,,121,,221,,,,0.005,
,,,70,,138,,,,0.003,
,,,147,,192,,,,0.007,
,,,133,,143,,,,0.006,
,,,112,,145,,,,0.006,
,,,109,,202,,,,0.006,
,,,85,,228,,,,0.003,
,,,83,,154,,,,0.005,
,,,100,,224,,,,0.002,
,,,107,,227,,,,0.003,
,,,80,,108,,,,0.006,
,,,94,,243,,,,0.002,
,,,245,,249,,,,0.004,
,,,81,,127,,,,0.009,
,,,126,,242,,,,0.008,
,,,63,,224,,,,0.001,
,,,167,,217,,,,0.001,
,,,163,,243,,,,0.007,
,,,72,,173,,,,0.003,
,,,185,,234,,,,0.002,
,,,64,,111,,,,0.009,
,,,136,,209,,,,0.008,
,,,155,,161,,,,0.007,
,,,121,,146,,,,0.003,
,,,170,,182,,,,0.002,
,,,94,,108,,,,0.004,
,,,105,,193,,,,0.008,
,,,92,,241,,,,0.008,
,,,162,,171,,,,0.005,
,,,109,,227,,,,0.004,
,,,119,,228,,,,0.003,
,,,107,,149,,,,0.001,
,,,102,,197,,,,0.002,
,,,94,,107,,,,0.004,
,,,78,,222,,,,0.002,
,,,152,,181,,,,0.002,
,,,191,,247,,,,0.009,
,,,66,,131,,,,0.008,
,,,219,,228,,,,0.006,
,,,157,,174,,,,0.002,
,,,69,,197,,,,0.004,
,,,179,,221,,,,0.005,
,,,176,,216,,,,0.001,
,,,138,,152,,,,0.005,
,,,72,,158,,,,0.003,
,,,173,,205,,,,0.004,
,,,113,,114,,,,0.009,
,,,148,,156,,,,0.004,
,,,115,,132,,,,0.003,
,,,79,,205,,,,0.007,
,,,142,,157,,,,0.006,
,,,94,,216,,,,0.003,
,,,188,,210,,,,0.009,
,,,158,,246,,,,0.004,
,,,166,,216,,,,0.009,
,,,190,,209,,,,0.004,
,,,89,,216,,,,0.002,
,,,83,,244,,,,0.008,
,,,165,,238,,,,0.007,
,,,104,,169,,,,0.006,
,,,127,,165,,,,0.004,
,,,80,,216,,,,0.009,
,,,108,,221,,,,0.003,
,,,63,,186,,,,0.003,
,,,136,,194,,,,0.007,
,,,175,,211,,,,0.008,
,,,92,,189,,,,0.002,
,,,105,,233,,,,0.002,
,,,205,,236,,,,0.005,
,,,188,,203,,,,0.001,
,,,143,,214,,,,0.003,
,,,102,,244,,,,0.006,
,,,221,,238,,,,0.008,
,,,135,,176,,,,0.003,
,,,75,,181,,,,0.002,
,,,82,,226,,,,0.009,
,,,139,,140,,,,0.006,
,,,105,,227,,,,0.009,
,,,69,,75,,,,0.001,
,,,96,,186,,,,0.007,
,,,125,,213,,,,0.009,
,,,85,,170,,,,0.006,
,,,145,,241,,,,0.004,
,,,180,,203,,,,0.009,
,,,93,,118,,,,0.009,
,,,92,,176,,,,0.001,
,,,205,,233,,,,0.003,
,,,122,,228,,,,0.006,
,,,155,,240,,,,0.003,
,,,102,,194,,,,0.006,
