id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E503,,E552,,,,0.001,
,,,E336,,E419,,,,0.006,
,,,E400,,E431,,,,0.007,
,,,E514,,E534,,,,0.003,
,,,E423,,E443,,,,0.009,
,,,E161,,E275,,,,0.002,
,,,E424,,E456,,,,0.002,
,,,E332,,E450,,,,0.003,
,,,E187,,E607,,,,0.002,
,,,E433,,E582,,,,0.009,
,,,E181,,E600,,,,0.009,
,,,E394,,E520,,,,0.005,
,,,E189,,E577,,,,0.005,
,,,E459,,E468,,,,0.002,
,,,E290,,E579,,,,0.003,
,,,E297,,E298,,,,0.001,
,,,E452,,E588,,,,0.006,
,,,E321,,E404,,,,0.007,
,,,E218,,E234,,,,0.007,
,,,E321,,E571,,,,0.008,
,,,E327,,E523,,,,0.006,
,,,E270,,E585,,,,0.009,
,,,E248,,E608,,,,0.004,
,,,E229,,E546,,,,0.006,
,,,E262,,E473,,,,0.003,
,,,E299,,E392,,,,0.007,
,,,E446,,E571,,,,0.001,
,,,E157,,E595,,,,0.005,
,,,E165,,E558,,,,0.008,
,,,E468,,E519,,,,0.002,
,,,E335,,E611,,,,0.005,
,,,E492,,E547,,,,0.003,
,,,E304,,E473,,,,0.005,
,,,E198,,E520,,,,0.003,
,,,E254,,E418,,,,0.001,
,,,E556,,E582,,,,0.003,
,,,E341,,E497,,,,0.004,
,,,E241,,E324,,,,0.005,
,,,E544,,E546,,,,0.006,
,,,E206,,E285,,,,0.006,
,,,E284,,E500,,,,0.009,
,,,E309,,E512,,,,0.001,
,,,E339,,E533,,,,0.006,
,,,E334,,E453,,,,0.003,
,,,E211,,E610,,,,0.001,
,,,E414,,E502,,,,0.009,
,,,E238,,E313,,,,0.001,
,,,E301,,E512,,,,0.001,
,,,E375,,E526,,,,0.003,
,,,E195,,E477,,,,0.009,
,,,E180,,E295,,,,0.007,
,,,E380,,E413,,,,0.009,
,,,E343,,E437,,,,0.006,
,,,E186,,E330,,,,0.008,
,,,E222,,E567,,,,0.001,
,,,E445,,E486,,,,0.004,
,,,E284,,E619,,,,0.002,
,,,E481,,E617,,,,0.002,
,,,E310,,E592,,,,0.005,
,,,E383,,E525,,,,0.002,
,,,E301,,E342,,,,0.001,
,,,E212,,E411,,,,0.007,
,,,E180,,E624,,,,0.008,
,,,E172,,E230,,,,0.001,
,,,E169,,E476,,,,0.006,
,,,E269,,E554,,,,0.005,
,,,E177,,E583,,,,0.008,
,,,E359,,E408,,,,0.005,
,,,E239,,E385,,,,0.002,
,,,E315,,E382,,,,0.009,
,,,E166,,E513,,,,0.008,
,,,E291,,E521,,,,0.005,
,,,E334,,E557,,,,0.006,
,,,E269,,E404,,,,0.006,
,,,E392,,E516,,,,0.005,
,,,E173,,E176,,,,0.001,
,,,E183,,E302,,,,0.004,
,,,E505,,E612,,,,0.008,
,,,E394,,E470,,,,0.001,
,,,E461,,E616,,,,0.007,
,,,E479,,E518,,,,0.001,
,,,E231,,E545,,,,0.005,
,,,E240,,E605,,,,0.007,
,,,E354,,E501,,,,0.001,
,,,E295,,E443,,,,0.001,
,,,E250,,E303,,,,0.004,
,,,E481,,E548,,,,0.006,
,,,E181,,E542,,,,0.004,
,,,E186,,E399,,,,0.006,
,,,E247,,E335,,,,0.001,
,,,E558,,E574,,,,0.009,
,,,E389,,E430,,,,0.009,
,,,E336,,E512,,,,0.001,
,,,E208,,E239,,,,0.006,
,,,E517,,E613,,,,0.004,
,,,E371,,E495,,,,0.004,
,,,E331,,E374,,,,0.003,
,,,E574,,E589,,,,0.008,
,,,E303,,E356,,,,0.001,
,,,E460,,E508,,,,0.001,
,,,E263,,E541,,,,0.004,
,,,E195,,E541,,,,0.007,
,,,E223,,E364,,,,0.003,
,,,E408,,E416,,,,0.009,
,,,E413,,E536,,,,0.005,
,,,E184,,E514,,,,0.002,
,,,E164,,E543,,,,0.002,
,,,E422,,E490,,,,0.008,
,,,E504,,E551,,,,0.005,
,,,E392,,E543,,,,0.009,
,,,E550,,E561,,,,0.009,
