id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E1052,,E328,,,,0.005,
,,,E598,,E643,,,,0.004,
,,,E323,,E777,,,,0.006,
,,,E323,,E501,,,,0.005,
,,,E637,,E953,,,,0.006,
,,,E289,,E566,,,,0.002,
,,,E1029,,E629,,,,0.007,
,,,E467,,E970,,,,0.007,
,,,E284,,E988,,,,0.007,
,,,E290,,E704,,,,0.005,
,,,E345,,E481,,,,0.007,
,,,E454,,E567,,,,0.001,
,,,E1091,,E540,,,,0.005,
,,,E1119,,E527,,,,0.008,
,,,E689,,E864,,,,0.003,
,,,E331,,E655,,,,0.004,
,,,E1094,,E338,,,,0.004,
,,,E1022,,E662,,,,0.007,
,,,E1055,,E982,,,,0.006,
,,,E352,,E689,,,,0.008,
,,,E413,,E540,,,,0.003,
,,,E668,,E940,,,,0.003,
,,,E475,,E809,,,,0.001,
,,,E366,,E603,,,,0.001,
,,,E1000,,E815,,,,0.009,
,,,E522,,E614,,,,0.008,
,,,E712,,E896,,,,0.008,
,,,E496,,E554,,,,0.002,
,,,E632,,E728,,,,0.009,
,,,E396,,E518,,,,0.008,
,,,E723,,E924,,,,0.002,
,,,E767,,E987,,,,0.006,
,,,E1026,,E1077,,,,0.007,
,,,E1044,,E958,,,,0.001,
,,,E313,,E914,,,,0.005,
,,,E389,,E865,,,,0.001,
,,,E355,,E591,,,,0.001,
,,,E336,,E367,,,,0.001,
,,,E482,,E733,,,,0.009,
,,,E1118,,E891,,,,0.007,
,,,E772,,E966,,,,0.008,
,,,E1031,,E874,,,,0.008,
,,,E408,,E870,,,,0.003,
,,,E1076,,E669,,,,0.006,
,,,E320,,E535,,,,0.003,
,,,E840,,E980,,,,0.008,
,,,E555,,E929,,,,0.001,
,,,E304,,E390,,,,0.003,
,,,E512,,E927,,,,0.009,
,,,E373,,E783,,,,0.007,
,,,E584,,E598,,,,0.008,
,,,E1099,,E619,,,,0.008,
,,,E466,,E806,,,,0.001,
,,,E314,,E769,,,,0.006,
,,,E393,,E988,,,,0.001,
,,,E1109,,E669,,,,0.009,
,,,E509,,E703,,,,0.009,
,,,E465,,E853,,,,0.007,
,,,E1072,,E600,,,,0.001,
,,,E1093,,E598,,,,0.009,
,,,E1079,,E681,,,,0.001,
,,,E402,,E718,,,,0.001,
,,,E599,,E699,,,,0.008,
,,,E559,,E990,,,,0.006,
,,,E1118,,E539,,,,0.009,
,,,E1104,,E766,,,,0.005,
,,,E640,,E665,,,,0.001,
,,,E398,,E696,,,,0.006,
,,,E350,,E427,,,,0.008,
,,,E1000,,E756,,,,0.007,
,,,E497,,E777,,,,0.002,
,,,E437,,E488,,,,0.005,
,,,E1113,,E904,,,,0.007,
,,,E874,,E914,,,,0.003,
,,,E1012,,E571,,,,0.009,
,,,E519,,E606,,,,0.008,
,,,E775,,E794,,,,0.001,
,,,E718,,E914,,,,0.007,
,,,E805,,E973,,,,0.007,
,,,E1092,,E791,,,,0.008,
,,,E500,,E942,,,,0.009,
,,,E591,,E872,,,,0.004,
,,,E1101,,E826,,,,0.004,
,,,E1041,,E733,,,,0.009,
,,,E329,,E523,,,,0.006,
,,,E1052,,E781,,,,0.005,
,,,E869,,E877,,,,0.001,
,,,E392,,E978,,,,0.002,
,,,E1098,,E851,,,,0.002,
,,,E352,,E799,,,,0.009,
,,,E916,,E955,,,,0.006,
,,,E684,,E719,,,,0.002,
,,,E590,,E780,,,,0.003,
,,,E556,,E568,,,,0.005,
,,,E465,,E712,,,,0.009,
,,,E689,,E886,,,,0.006,
,,,E600,,E915,,,,0.002,
,,,E511,,E694,,,,0.007,
,,,E1116,,E658,,,,0.009,
,,,E541,,E552,,,,0.004,
,,,E487,,E900,,,,0.006,
,,,E653,,E734,,,,0.008,
,,,E319,,E776,,,,0.009,
,,,E730,,E861,,,,0.009,
,,,E292,,E802,,,,0.008,
,,,E556,,E810,,,,0.002,
,,,E565,,E627,,,,0.002,
,,,E1037,,E1070,,,,0.001,
,,,E429,,E865,,,,0.004,
,,,E774,,E911,,,,0.008,
,,,E411,,E488,,,,0.002,
,,,E1030,,E552,,,,0.009,
,,,E494,,E713,,,,0.006,
,,,E862,,E956,,,,0.006,
,,,E1062,,E1121,,,,0.009,
,,,E1029,,E361,,,,0.004,
,,,E308,,E418,,,,0.009,
,,,E1071,,E438,,,,0.001,
,,,E341,,E433,,,,0.009,
,,,E382,,E923,,,,0.001,
,,,E862,,E963,,,,0.002,
,,,E283,,E683,,,,0.009,
,,,E356,,E713,,,,0.004,
,,,E355,,E610,,,,0.002,
,,,E1013,,E341,,,,0.009,
,,,E281,,E369,,,,0.007,
,,,E382,,E546,,,,0.003,
,,,E674,,E680,,,,0.003,
,,,E722,,E979,,,,0.006,
,,,E1074,,E768,,,,0.008,
,,,E512,,E935,,,,0.007,
,,,E1065,,E962,,,,0.004,
,,,E870,,E951,,,,0.009,
,,,E458,,E556,,,,0.003,
,,,E824,,E910,,,,0.009,
,,,E723,,E872,,,,0.006,
,,,E330,,E746,,,,0.007,
,,,E478,,E607,,,,0.002,
,,,E752,,E904,,,,0.007,
,,,E857,,E961,,,,0.008,
,,,E454,,E791,,,,0.007,
,,,E440,,E689,,,,0.004,
,,,E1045,,E623,,,,0.004,
,,,E1062,,E375,,,,0.001,
,,,E334,,E669,,,,0.007,
,,,E438,,E648,,,,0.007,
,,,E1089,,E623,,,,0.003,
,,,E674,,E822,,,,0.009,
,,,E470,,E510,,,,0.001,
,,,E1022,,E998,,,,0.003,
,,,E575,,E743,,,,0.005,
,,,E339,,E437,,,,0.008,
,,,E330,,E791,,,,0.002,
,,,E432,,E516,,,,0.008,
,,,E1082,,E811,,,,0.009,
,,,E479,,E947,,,,0.003,
,,,E418,,E608,,,,0.005,
,,,E1057,,E867,,,,0.002,
,,,E392,,E394,,,,0.007,
,,,E288,,E349,,,,0.002,
,,,E655,,E725,,,,0.009,
,,,E1027,,E444,,,,0.006,
,,,E1017,,E800,,,,0.007,
,,,E487,,E798,,,,0.003,
,,,E404,,E978,,,,0.002,
,,,E485,,E742,,,,0.005,
,,,E316,,E944,,,,0.001,
,,,E462,,E664,,,,0.002,
,,,E388,,E614,,,,0.002,
,,,E381,,E458,,,,0.002,
,,,E1074,,E549,,,,0.008,
,,,E616,,E894,,,,0.008,
,,,E532,,E809,,,,0.007,
,,,E454,,E582,,,,0.004,
,,,E1083,,E748,,,,0.002,
,,,E782,,E785,,,,0.007,
,,,E449,,E535,,,,0.002,
,,,E285,,E532,,,,0.002,
,,,E514,,E594,,,,0.006,
,,,E1021,,E504,,,,0.005,
,,,E434,,E517,,,,0.007,
