id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E817,,E853,,,,0.003,
,,,E1287,,E640,,,,0.003,
,,,E671,,E877,,,,0.007,
,,,E1221,,E734,,,,0.007,
,,,E724,,E840,,,,0.005,
,,,E429,,E776,,,,0.005,
,,,E1478,,E933,,,,0.009,
,,,E1366,,E758,,,,0.009,
,,,E1041,,E428,,,,0.006,
,,,E1148,,E992,,,,0.007,
,,,E790,,E808,,,,0.003,
,,,E1003,,E1182,,,,0.005,
,,,E1496,,E474,,,,0.002,
,,,E446,,E830,,,,0.009,
,,,E1016,,E541,,,,0.005,
,,,E492,,E989,,,,0.009,
,,,E1457,,E789,,,,0.002,
,,,E578,,E710,,,,0.002,
,,,E1167,,E743,,,,0.003,
,,,E1034,,E1249,,,,0.003,
,,,E656,,E726,,,,0.001,
,,,E1425,,E646,,,,0.006,
,,,E1273,,E1332,,,,0.009,
,,,E1139,,E413,,,,0.008,
,,,E1087,,E1464,,,,0.007,
,,,E1010,,E1054,,,,0.002,
,,,E1016,,E1122,,,,0.005,
,,,E1268,,E1442,,,,0.001,
,,,E1060,,E1268,,,,0.002,
,,,E535,,E540,,,,0.008,
,,,E628,,E816,,,,0.005,
,,,E1483,,E915,,,,0.008,
,,,E749,,E887,,,,0.008,
,,,E1014,,E1351,,,,0.002,
,,,E401,,E733,,,,0.006,
,,,E1212,,E621,,,,0.009,
,,,E1215,,E519,,,,0.004,
,,,E414,,E547,,,,0.004,
,,,E1092,,E1229,,,,0.006,
,,,E394,,E693,,,,0.001,
,,,E530,,E779,,,,0.005,
,,,E1021,,E800,,,,0.008,
,,,E878,,E932,,,,0.004,
,,,E1169,,E872,,,,0.002,
,,,E1040,,E476,,,,0.008,
,,,E1420,,E930,,,,0.002,
,,,E1448,,E626,,,,0.008,
,,,E1097,,E1398,,,,0.004,
,,,E1177,,E1346,,,,0.007,
,,,E1125,,E1494,,,,0.004,
,,,E1412,,E1491,,,,0.006,
,,,E1170,,E1205,,,,0.002,
,,,E1141,,E543,,,,0.008,
,,,E1135,,E1454,,,,0.004,
,,,E1086,,E794,,,,0.009,
,,,E1001,,E683,,,,0.006,
,,,E1044,,E1474,,,,0.009,
,,,E428,,E680,,,,0.005,
,,,E388,,E737,,,,0.005,
,,,E599,,E897,,,,0.008,
,,,E1288,,E801,,,,0.003,
,,,E509,,E970,,,,0.006,
,,,E1261,,E1399,,,,0.009,
,,,E1297,,E1428,,,,0.005,
,,,E1082,,E965,,,,0.005,
,,,E483,,E851,,,,0.003,
,,,E1195,,E1386,,,,0.002,
,,,E1041,,E1379,,,,0.006,
,,,E1033,,E932,,,,0.008,
,,,E1028,,E554,,,,0.006,
,,,E440,,E883,,,,0.004,
,,,E1147,,E657,,,,0.008,
,,,E1323,,E584,,,,0.008,
,,,E528,,E920,,,,0.006,
,,,E667,,E785,,,,0.008,
,,,E506,,E971,,,,0.002,
,,,E696,,E811,,,,0.007,
,,,E1160,,E1313,,,,0.001,
,,,E815,,E864,,,,0.008,
,,,E1388,,E1391,,,,0.002,
,,,E1282,,E1476,,,,0.002,
,,,E1212,,E653,,,,0.006,
,,,E1014,,E1118,,,,0.007,
,,,E1163,,E1239,,,,0.009,
,,,E1249,,E948,,,,0.003,
,,,E1105,,E572,,,,0.002,
,,,E454,,E585,,,,0.008,
,,,E1153,,E1287,,,,0.005,
,,,E1282,,E777,,,,0.005,
,,,E487,,E715,,,,0.003,
,,,E913,,E924,,,,0.002,
,,,E1419,,E412,,,,0.003,
,,,E1165,,E514,,,,0.006,
,,,E1434,,E511,,,,0.004,
,,,E1221,,E384,,,,0.005,
,,,E565,,E787,,,,0.001,
,,,E533,,E730,,,,0.001,
,,,E1217,,E1370,,,,0.005,
,,,E803,,E844,,,,0.009,
,,,E1062,,E1374,,,,0.002,
,,,E1002,,E1016,,,,0.004,
,,,E913,,E939,,,,0.002,
,,,E1035,,E654,,,,0.009,
,,,E1343,,E1477,,,,0.002,
,,,E1192,,E1455,,,,0.005,
,,,E1147,,E492,,,,0.004,
,,,E1433,,E416,,,,0.008,
,,,E1239,,E547,,,,0.003,
,,,E1359,,E923,,,,0.001,
,,,E1254,,E964,,,,0.008,
,,,E1426,,E1441,,,,0.007,
,,,E1178,,E838,,,,0.006,
,,,E1197,,E871,,,,0.005,
,,,E405,,E584,,,,0.004,
,,,E1086,,E375,,,,0.008,
,,,E1253,,E429,,,,0.009,
,,,E1489,,E932,,,,0.008,
,,,E1342,,E781,,,,0.009,
,,,E1459,,E565,,,,0.003,
,,,E1201,,E718,,,,0.002,
,,,E1223,,E1452,,,,0.003,
,,,E1173,,E635,,,,0.005,
,,,E1262,,E436,,,,0.005,
,,,E1369,,E1436,,,,0.005,
,,,E1220,,E606,,,,0.002,
,,,E1232,,E822,,,,0.009,
,,,E1046,,E1221,,,,0.008,
,,,E459,,E821,,,,0.009,
,,,E1389,,E421,,,,0.004,
,,,E458,,E744,,,,0.002,
,,,E1189,,E568,,,,0.003,
,,,E1446,,E462,,,,0.009,
,,,E883,,E952,,,,0.008,
,,,E1194,,E872,,,,0.004,
,,,E1076,,E498,,,,0.006,
,,,E1029,,E402,,,,0.005,
,,,E436,,E977,,,,0.007,
,,,E1040,,E1223,,,,0.005,
,,,E736,,E793,,,,0.007,
,,,E1354,,E832,,,,0.008,
