id,type1,type2,source,misc,target,misc,misc,misc,weight,misc
,,,E1988,,E587,,,,0.004,
,,,E1076,,E1640,,,,0.001,
,,,E1165,,E1520,,,,0.005,
,,,E1596,,E1618,,,,0.004,
,,,E805,,E817,,,,0.002,
,,,E1798,,E899,,,,0.004,
,,,E757,,E903,,,,0.001,
,,,E1121,,E584,,,,0.008,
,,,E1565,,E1711,,,,0.002,
,,,E1983,,E789,,,,0.001,
,,,E1743,,E697,,,,0.009,
,,,E1125,,E942,,,,0.007,
,,,E560,,E766,,,,0.002,
,,,E1555,,E1610,,,,0.004,
,,,E1002,,E836,,,,0.005,
,,,E1086,,E585,,,,0.001,
,,,E1078,,E1542,,,,0.005,
,,,E1466,,E1958,,,,0.008,
,,,E1502,,E849,,,,0.003,
,,,E1446,,E995,,,,0.008,
,,,E1199,,E1513,,,,0.009,
,,,E1664,,E989,,,,0.009,
,,,E673,,E941,,,,0.008,
,,,E1880,,E940,,,,0.004,
,,,E1192,,E1490,,,,0.001,
,,,E1235,,E1310,,,,0.008,
,,,E1738,,E883,,,,0.006,
,,,E870,,E992,,,,0.006,
,,,E1102,,E1967,,,,0.003,
,,,E1032,,E1323,,,,0.009,
,,,E1015,,E1319,,,,0.004,
,,,E1782,,E811,,,,0.009,
,,,E1969,,E792,,,,0.008,
,,,E1138,,E1851,,,,0.006,
,,,E1962,,E520,,,,0.005,
,,,E1718,,E1840,,,,0.004,
,,,E1121,,E705,,,,0.004,
,,,E1620,,E1644,,,,0.003,
,,,E1183,,E1270,,,,0.001,
,,,E1088,,E1314,,,,0.005,
,,,E1350,,E1817,,,,0.008,
,,,E1345,,E529,,,,0.001,
,,,E1141,,E1964,,,,0.002,
,,,E844,,E899,,,,0.009,
,,,E813,,E997,,,,0.006,
,,,E1504,,E1945,,,,0.001,
,,,E1380,,E649,,,,0.001,
,,,E1486,,E678,,,,0.006,
,,,E1192,,E1989,,,,0.001,
,,,E1746,,E739,,,,0.004,
,,,E638,,E647,,,,0.003,
,,,E841,,E950,,,,0.009,
,,,E1293,,E1457,,,,0.001,
,,,E1441,,E1540,,,,0.008,
,,,E1486,,E991,,,,0.008,
,,,E1811,,E754,,,,0.009,
,,,E1659,,E1910,,,,0.003,
,,,E581,,E824,,,,0.001,
,,,E1017,,E1033,,,,0.006,
,,,E554,,E570,,,,0.009,
,,,E1357,,E958,,,,0.009,
,,,E1733,,E888,,,,0.004,
,,,E1686,,E700,,,,0.009,
,,,E639,,E945,,,,0.001,
,,,E536,,E745,,,,0.001,
,,,E1999,,E952,,,,0.008,
,,,E1832,,E913,,,,0.001,
,,,E1781,,E972,,,,0.006,
,,,E1485,,E615,,,,0.001,
,,,E1593,,E572,,,,0.001,
,,,E1211,,E1541,,,,0.008,
,,,E941,,E991,,,,0.005,
,,,E1059,,E788,,,,0.001,
,,,E1382,,E1581,,,,0.006,
,,,E1164,,E897,,,,0.004,
,,,E1506,,E1842,,,,0.005,
,,,E1715,,E528,,,,0.005,
,,,E1006,,E1894,,,,0.005,
,,,E1094,,E1195,,,,0.008,
,,,E1822,,E1832,,,,0.006,
,,,E1102,,E1767,,,,0.001,
,,,E1878,,E1994,,,,0.007,
,,,E1872,,E780,,,,0.007,
,,,E1480,,E677,,,,0.006,
,,,E529,,E849,,,,0.003,
,,,E1171,,E975,,,,0.003,
,,,E1005,,E979,,,,0.009,
,,,E1482,,E598,,,,0.005,
,,,E1910,,E989,,,,0.001,
,,,E1536,,E729,,,,0.001,
,,,E1293,,E1449,,,,0.009,
,,,E1531,,E750,,,,0.007,
,,,E1417,,E546,,,,0.009,
,,,E1142,,E1680,,,,0.008,
,,,E1003,,E762,,,,0.003,
,,,E1121,,E1214,,,,0.008,
,,,E885,,E897,,,,0.006,
,,,E920,,E994,,,,0.005,
,,,E1021,,E1551,,,,0.009,
,,,E522,,E573,,,,0.008,
,,,E1194,,E996,,,,0.006,
,,,E559,,E887,,,,0.001,
,,,E1386,,E524,,,,0.009,
,,,E516,,E657,,,,0.009,
,,,E1301,,E1877,,,,0.003,
,,,E612,,E656,,,,0.003,
,,,E1868,,E564,,,,0.006,
,,,E584,,E794,,,,0.006,
,,,E1190,,E519,,,,0.001,
,,,E1167,,E1934,,,,0.002,
,,,E1000,,E832,,,,0.002,
,,,E1480,,E937,,,,0.003,
,,,E1551,,E1653,,,,0.004,
,,,E1371,,E1551,,,,0.007,
,,,E1088,,E1215,,,,0.007,
,,,E1087,,E1232,,,,0.001,
,,,E534,,E983,,,,0.003,
,,,E1708,,E1930,,,,0.009,
,,,E1892,,E644,,,,0.009,
,,,E1415,,E784,,,,0.006,
,,,E1330,,E1924,,,,0.006,
,,,E1125,,E1664,,,,0.003,
,,,E1137,,E1649,,,,0.003,
,,,E1039,,E809,,,,0.005,
,,,E1013,,E1044,,,,0.005,
,,,E692,,E893,,,,0.001,
,,,E716,,E815,,,,0.004,
,,,E1047,,E1383,,,,0.007,
,,,E1470,,E1776,,,,0.003,
,,,E1485,,E1555,,,,0.003,
,,,E1222,,E1920,,,,0.005,
,,,E1736,,E790,,,,0.001,
,,,E1165,,E1400,,,,0.004,
,,,E1014,,E1130,,,,0.002,
,,,E601,,E792,,,,0.007,
,,,E1797,,E912,,,,0.007,
,,,E1731,,E1986,,,,0.009,
,,,E1591,,E1747,,,,0.003,
,,,E1726,,E1780,,,,0.009,
,,,E1532,,E1651,,,,0.009,
,,,E1277,,E1282,,,,0.009,
,,,E1076,,E1505,,,,0.007,
,,,E1589,,E625,,,,0.002,
