i,i,i,i,i
1,TESTA10,H201A-X01,E78,87.9215
2,TESTA10,E78,N4,112.237
3,TESTA10,E78,N8,295.909
4,TESTA10,C204A-X01,E47,74.9599
5,TESTA10,E47,N191,28.9397
6,TESTA10,E47,N192,303.549
7,TESTA10,C204B-X01,E61,74.9599
8,TESTA10,E61,N191,208.94
9,TESTA10,E61,N192,123.549
10,TESTA10,C105A-X01,E1329,117.859
11,TESTA10,E1329,N221,618.888
12,TESTA10,E1329,N222,963.01
13,TESTA10,C105B-X01,E1363,117.859
14,TESTA10,E1363,N221,333.888
15,TESTA10,E1363,N222,1248.01
16,TESTA10,C104A-X01,E1346,142.515
17,TESTA10,E1346,N20,70.36
18,TESTA10,E1346,N21,57.9094
19,TESTA10,C104B-X01,E1380,142.515
20,TESTA10,E1380,N18,230.137
21,TESTA10,E1380,N19,582.495
22,TESTA10,H201A-X02,E78,89.1209
23,TESTA10,H201A-X03,E95,120.456
24,TESTA10,E95,N127,32
25,TESTA10,E95,N144,77.1413
26,TESTA10,N0,N1,17.3326
27,TESTA10,N1,N2,835.119
28,TESTA10,N2,N3,211.615
29,TESTA10,N3,N4,594.663
30,TESTA10,N4,N5,190.743
31,TESTA10,N6,N278,805.359
32,TESTA10,N4,N8,408.146
33,TESTA10,N8,N9,439.137
34,TESTA10,N9,N10,638.341
35,TESTA10,N11,N8,594.663
36,TESTA10,N8,N12,167.183
37,TESTA10,N3,N11,408.146
38,TESTA10,N2,N6,405.779
39,TESTA10,N280,N14,756.609
40,TESTA10,N17,N18,780.625
41,TESTA10,N18,N19,812.631
42,TESTA10,N19,N20,42.1455
43,TESTA10,N20,N21,128.269
44,TESTA10,N22,N23,246.862
45,TESTA10,N23,N24,452.997
46,TESTA10,N24,N25,107.651
47,TESTA10,N25,N26,190.81
48,TESTA10,N26,N27,878.425
49,TESTA10,N28,N29,8
50,TESTA10,N29,N26,24.4452
51,TESTA10,N26,N30,313.436
52,TESTA10,N30,N31,504.411
53,TESTA10,N30,N32,269.615
54,TESTA10,N32,N33,438.395
55,TESTA10,N33,N34,42.1455
56,TESTA10,N34,N35,128.269
57,TESTA10,N36,N19,17.7864
58,TESTA10,N19,N37,449.921
59,TESTA10,N37,N38,58.0327
60,TESTA10,N38,N33,446.378
61,TESTA10,N256,N32,172.448
62,TESTA10,N32,N39,194.178
63,TESTA10,N39,N40,283.852
64,TESTA10,N31,N37,708.01
65,TESTA10,N17,N41,467.436
66,TESTA10,N42,N43,527.613
67,TESTA10,N43,N41,253.011
68,TESTA10,N25,N44,441.286
69,TESTA10,N44,N45,237.516
70,TESTA10,N45,N46,203.909
71,TESTA10,N46,N47,210.371
72,TESTA10,N47,N48,155.714
73,TESTA10,N48,N22,441.286
74,TESTA10,N43,N49,154.535
75,TESTA10,N49,N46,204.511
76,TESTA10,N49,N50,166.341
77,TESTA10,N23,N269,398.448
78,TESTA10,N269,N270,286.552
79,TESTA10,N270,N271,392.309
80,TESTA10,N47,N52,320.3
81,TESTA10,N45,N53,166.341
82,TESTA10,N42,N18,467.436
83,TESTA10,N54,N55,404.526
84,TESTA10,N56,N57,65
85,TESTA10,N58,N59,242.813
86,TESTA10,N59,N60,209.26
87,TESTA10,N60,N257,171.067
88,TESTA10,N257,N61,182.478
89,TESTA10,N61,N62,221.455
90,TESTA10,N62,N63,11.4939
91,TESTA10,N64,N65,153.443
92,TESTA10,N65,N58,508.501
93,TESTA10,N58,N66,158.056
94,TESTA10,N65,N67,295.959
95,TESTA10,N67,N68,187.58
96,TESTA10,N68,N69,35.7024
97,TESTA10,N69,N70,300.189
98,TESTA10,N70,N71,219.136
99,TESTA10,N67,N72,253.501
100,TESTA10,N59,N73,67.861
101,TESTA10,N73,N74,253.501
102,TESTA10,N61,N75,253.501
103,TESTA10,N70,N76,278.027
104,TESTA10,N77,N78,412.072
105,TESTA10,N79,N80,124.041
106,TESTA10,N80,N81,83.0202
107,TESTA10,N81,N82,114.655
108,TESTA10,N82,N83,112.033
109,TESTA10,N80,N84,76.028
110,TESTA10,N82,N85,76.028
111,TESTA10,N81,N86,292.297
112,TESTA10,N86,N87,104.261
113,TESTA10,N87,N88,194.498
114,TESTA10,N87,N89,53.2309
115,TESTA10,N86,N90,207.061
116,TESTA10,N90,N91,65
117,TESTA10,N91,N68,153.443
118,TESTA10,N92,N93,70.0736
119,TESTA10,N93,N91,375
120,TESTA10,N94,N95,36.1056
121,TESTA10,N95,N96,375
122,TESTA10,N97,N98,65
123,TESTA10,N99,N98,350
124,TESTA10,N98,N95,181.77
125,TESTA10,N100,N101,181.45
126,TESTA10,N101,N97,350
127,TESTA10,N97,N93,31.2848
128,TESTA10,N102,N103,240.987
129,TESTA10,N103,N90,381.466
130,TESTA10,N90,N96,150.304
131,TESTA10,N96,N79,141.993
132,TESTA10,N79,N78,180.46
133,TESTA10,N101,N99,65.0007
134,TESTA10,N99,N103,375
135,TESTA10,N100,N104,375.458
136,TESTA10,N104,N64,79.3772
137,TESTA10,N91,N105,517.363
138,TESTA10,N106,N107,181.36
139,TESTA10,N107,N108,465.483
140,TESTA10,N57,N108,166.381
141,TESTA10,N108,N66,41.1387
142,TESTA10,N109,N110,65
143,TESTA10,N110,N111,797.5
144,TESTA10,N111,N112,41.8381
145,TESTA10,N112,N113,98.2085
146,TESTA10,N112,N114,494.564
147,TESTA10,N111,N60,158.056
