i,i,i,i,i
1,TESTA01,ZD04-C-X01,E4568,225.393
2,TESTA01,E4568,N266,279.176
3,TESTA01,E4568,N267,69.6848
4,TESTA01,Z502-X01,E490,119.994
5,TESTA01,E490,N192,418.123
6,TESTA01,E490,N204,0
7,TESTA01,Z502-X02,E490,122.194
8,TESTA01,Z502-X03,E490,162.019
9,TESTA01,310-AND01-X01,E209,127.005
10,TESTA01,E209,N39,245.35
11,TESTA01,E209,N40,38.5017
12,TESTA01,310-AND01-X02,E209,106.424
13,TESTA01,310-AND01-X03,E209,126.959
14,TESTA01,C103B-X01G,E632,80.2238
15,TESTA01,E632,N19,369.524
16,TESTA01,E632,N37,80.3975
17,TESTA01,C103A-X01G,E531,72.1393
18,TESTA01,E531,N215,139
19,TESTA01,E531,N20,368.954
20,TESTA01,K305-X01,E575,108.944
21,TESTA01,E575,N161,488.395
22,TESTA01,E575,N162,414.378
23,TESTA01,K140B-X01,E649,158.47
24,TESTA01,E649,N186,182.13
25,TESTA01,E649,N163,145.599
26,TESTA01,K140B-X02,E507,156.438
27,TESTA01,E507,N185,181.292
28,TESTA01,E507,N186,178.077
29,TESTA01,DL-1,E422,41.1583
30,TESTA01,E422,N260,143.588
31,TESTA01,E422,N141,61.2356
32,TESTA01,Z205-X01,E175,109.5
33,TESTA01,E175,N67,155
34,TESTA01,E175,N72,98.5005
35,TESTA01,Z205-X02,E473,98.068
36,TESTA01,E473,N64,36.96
37,TESTA01,E473,N65,116.483
38,TESTA01,Z205-X03,E439,92.0902
39,TESTA01,E439,N103,62.28
40,TESTA01,E439,N90,319.186
41,TESTA01,ZD04-C-X02,E4568,178.37
42,TESTA01,Z502-X04,E490,160.367
43,TESTA01,310-AND01-X04,E209,130.666
44,TESTA01,C103B-X02G,E192,84.809
45,TESTA01,E192,N19,217.634
46,TESTA01,E192,N37,232.288
47,TESTA01,K305-X02,E226,108.944
48,TESTA01,E226,N161,596.395
49,TESTA01,E226,N162,306.378
50,TESTA01,K140B-X03,E243,182.521
51,TESTA01,E243,N162,57.1293
52,TESTA01,E243,N185,270.6
53,TESTA01,K210-X01,E67,142.815
54,TESTA01,E67,N146,245
55,TESTA01,E67,N184,60.4034
56,TESTA01,V201-X01,E456,91.7083
57,TESTA01,E456,N178,426.944
