id,type,source,target,weight
,,M0,M1,310
,,M1,M2,100
,,M2,M3,60
,,M3,M4,280
,,M4,M5,150
,,M5,M6,210
,,M6,M7,110
,,M7,M8,50
,,M8,M9,260
,,M9,M10,430
,,M10,M11,460
,,M11,M12,500
,,M12,M13,310
,,M13,M14,40
,,M14,M15,310
,,M15,M16,400
,,M16,M17,400
,,M17,M18,370
,,M18,M19,110
,,M19,M20,270
,,M20,M21,310
,,M21,M22,10
,,M22,M23,80
,,M23,M24,100
,,M24,M25,290
,,M25,M26,200
,,M26,M27,420
,,M27,M28,310
,,M28,M29,220
,,M29,M30,230
,,M30,M31,20
,,M31,M32,380
,,M32,M33,70
,,M33,M34,400
,,M34,M35,290
,,M35,M36,230
,,M36,M37,110
,,M37,M38,10
,,M38,M39,350
,,M39,M40,150
,,M40,M41,410
,,M41,M42,340
,,M42,M43,220
,,M43,M44,360
,,M44,M45,150
,,M45,M46,250
,,M46,M47,330
,,M47,M48,140
,,M48,M49,500
,,M49,M50,140
,,M50,M51,500
,,M51,M52,390
,,M52,M53,420
,,M53,M54,430
,,M54,M55,350
,,M55,M56,410
,,M56,M57,430
,,M57,M58,110
,,M58,M59,100
,,M59,M60,300
,,M60,M61,300
,,M61,M62,420
,,M62,M63,280
,,M63,M64,330
,,M64,M65,220
,,M65,M66,130
,,M66,M67,30
,,M67,M68,380
,,M68,M69,270
,,M69,M70,210
,,M70,M71,430
,,M71,M72,130
,,M72,M73,290
,,M73,M74,370
,,M74,M75,150
,,M75,M76,190
,,M76,M77,380
,,M77,M78,30
,,M78,M79,470
,,M79,M80,50
,,M80,M81,430
,,M81,M82,20
,,M82,M83,20
,,M83,M84,130
,,M84,M85,50
,,M85,M86,200
,,M86,M87,100
,,M87,M88,480
,,M88,M89,410
,,M89,M90,160
,,M90,M91,310
,,M91,M92,110
,,M92,M93,150
,,M93,M94,140
,,M94,M95,190
,,M95,M96,500
,,M96,M97,280
,,M97,M98,40
,,M98,M99,70
,,M99,M100,340
,,M100,M101,470
,,M101,M102,60
,,M102,M103,390
,,M103,M104,370
,,M104,M105,60
,,M105,M106,160
,,M106,M107,160
,,M107,M108,350
,,M108,M109,440
,,M109,M110,250
,,M110,M111,90
,,M111,M112,460
,,M112,M113,470
,,M113,M114,130
,,M114,M115,470
,,M115,M116,350
,,M116,M117,500
,,M117,M118,500
,,M118,M119,200
,,M119,M120,70
,,M120,M121,280
,,M121,M122,270
,,M122,M123,170
,,M123,M124,370
,,M124,M125,180
,,M125,M126,50
,,M126,M127,340
,,M127,M128,450
,,M128,M129,240
,,M129,M130,190
,,M130,M131,410
,,M131,M132,60
,,M132,M133,290
,,M133,M134,490
,,M134,M135,500
,,M135,M136,500
,,M136,M137,150
,,M137,M138,100
,,M138,M139,230
,,M139,M140,170
,,M140,M141,360
,,M141,M142,340
,,M142,M143,470
,,M143,M144,250
,,M144,M145,410
,,M145,M146,140
,,M146,M147,190
,,M147,M148,480
,,M148,M149,10
,,M149,M150,120
,,M150,M151,250
,,M151,M152,20
,,M152,M153,290
,,M153,M154,110
,,M154,M155,410
,,M155,M156,130
,,M156,M157,260
,,M157,M158,190
,,M158,M159,120
,,M159,M160,390
,,M160,M161,100
,,M161,M162,450
,,M162,M163,240
,,M163,M164,470
,,M164,M165,190
,,M165,M166,180
,,M166,M167,190
,,M167,M168,370
,,M168,M169,410
,,M169,M170,100
,,M170,M171,70
,,M171,M172,500
,,M172,M173,190
,,M173,M174,180
,,M174,M175,330
,,M175,M176,270
,,M176,M177,370
,,M177,M178,200
,,M178,M179,310
,,M179,M180,440
,,M180,M181,420
,,M181,M182,210
,,M182,M183,440
,,M183,M184,300
,,M184,M185,270
,,M185,M186,60
,,M186,M187,290
,,M187,M188,40
,,M188,M189,160
,,M189,M190,320
,,M190,M191,130
,,M191,M192,340
,,M192,M193,340
,,M193,M194,10
,,M194,M195,360
,,M195,M196,370
,,M196,M197,220
,,M197,M198,140
,,M198,M199,250
,,M199,M200,400
,,M200,M201,60
,,M201,M202,170
,,M202,M203,370
,,M203,M204,20
,,M204,M205,20
,,M205,M206,300
,,M206,M207,60
,,M207,M208,130
,,M208,M209,390
,,M209,M210,290
,,M210,M211,450
,,M211,M212,350
,,M212,M213,110
,,M213,M214,390
,,M214,M215,500
,,M215,M216,270
,,M216,M217,30
,,M217,M218,490
,,M218,M219,340
,,M219,M220,130
,,M220,M221,370
,,M221,M222,50
,,M222,M223,270
,,M223,M224,120
,,M224,M225,60
,,M225,M226,380
,,M226,M227,140
,,M227,M228,340
,,M228,M229,380
,,M229,M230,330
,,M230,M231,360
,,M231,M232,40
,,M232,M233,170
,,M233,M234,420
,,M234,M235,20
,,M235,M236,180
,,M236,M237,180
,,M237,M238,20
,,M238,M239,100
,,M239,M240,60
,,M240,M241,60
,,M241,M242,310
,,M242,M243,250
,,M243,M244,70
,,M244,M245,260
,,M245,M246,440
,,M246,M247,150
,,M247,M248,60
,,M248,M249,300
,,M249,M250,230
,,M250,M251,90
,,M251,M252,220
,,M252,M253,480
,,M253,M254,320
,,M254,M255,490
,,M255,M256,100
,,M256,M257,270
,,M257,M258,410
,,M258,M259,70
,,M259,M260,260
,,M260,M261,70
,,M261,M262,80
,,M262,M263,90
,,M263,M264,480
,,M264,M265,350
,,M265,M266,10
,,M266,M267,360
,,M267,M268,150
,,M268,M269,500
,,M269,M270,280
,,M270,M271,490
,,M271,M272,270
,,M272,M273,10
,,M273,M274,190
,,M274,M275,190
,,M275,M276,20
,,M276,M277,110
,,M277,M278,250
,,M278,M279,150
,,M279,M280,90
,,M280,M281,400
,,M281,M282,60
,,M282,M283,40
,,M283,M284,420
,,M284,M285,350
,,M285,M286,320
,,M286,M287,430
,,M287,M288,20
,,M288,M289,310
,,M289,M290,90
,,M290,M291,70
,,M291,M292,150
,,M292,M293,420
,,M293,M294,410
,,M294,M295,390
,,M295,M296,90
,,M296,M297,300
,,M297,M298,80
,,M298,M299,320
,,M299,M300,50
,,M300,M301,260
,,M301,M302,490
,,M302,M303,500
,,M303,M304,110
,,M304,M305,500
,,M305,M306,10
,,M306,M307,270
,,M307,M308,130
