i,i,i,i,i
1,TESTA02,K210-X08,E50,134.814
2,TESTA02,E50,N146,247.5
3,TESTA02,E50,N184,57.9034
4,TESTA02,K403-X01,E240,270.284
5,TESTA02,E240,N163,196.323
6,TESTA02,E240,N164,211.912
7,TESTA02,K140B-X04,E328,37.1123
8,TESTA02,E328,N162,195.792
9,TESTA02,E328,N163,163.577
10,TESTA02,DL-2,E379,56.295
11,TESTA02,E379,N262,170.868
12,TESTA02,E379,N261,220.82
13,TESTA02,V201-X08,E267,88.6701
14,TESTA02,E267,N148,22.6373
15,TESTA02,E267,N149,113.39
16,TESTA02,N301H-X01,E362,270.837
17,TESTA02,E362,N49,166.34
18,TESTA02,E362,N50,0.00118188
19,TESTA02,K210-X09,E50,143.232
20,TESTA02,K404-X03,E3482,263.365
21,TESTA02,E3482,N166,267.293
22,TESTA02,E3482,N167,180.208
23,TESTA02,DL-3,E152,183.779
24,TESTA02,E152,N164,36.5093
25,TESTA02,E152,N165,1375.92
26,TESTA02,V201-X09,E84,128.871
27,TESTA02,E84,N156,0
28,TESTA02,E84,N157,331.481
29,TESTA02,N301A-X02,E396,238.064
30,TESTA02,E396,N11,444.811
31,TESTA02,E396,N8,149.852
32,TESTA02,K140A-X01,E504,173.675
33,TESTA02,E504,N145,0.00452517
34,TESTA02,E504,N146,270.873
35,TESTA02,K210-X10,E50,169.798
36,TESTA02,DL-4,E413,60.8093
37,TESTA02,E413,N160,321.54
38,TESTA02,E413,N161,63.5193
39,TESTA02,V201-X10,E84,128.95
40,TESTA02,N301B-X02,E169,238.152
41,TESTA02,E169,N11,209.341
42,TESTA02,E169,N8,385.322
43,TESTA02,K140A-X02,E135,223.348
44,TESTA02,E135,N154,1041.71
45,TESTA02,E135,N167,369.341
46,TESTA02,K210-X11,E50,151.111
47,TESTA02,DL-5,E450,161.926
48,TESTA02,E450,N77,144.412
49,TESTA02,E450,N78,267.66
50,TESTA02,V201-X11,E267,94.3457
51,TESTA02,N301C-X02,E284,238.065
52,TESTA02,E284,N6,160.374
53,TESTA02,E284,N278,644.985
54,TESTA02,V201-X12,E267,84.4814
55,TESTA02,K210-X12,E50,186.709
56,TESTA02,K140A-X03,E487,156.658
57,TESTA02,E487,N154,913.71
58,TESTA02,E487,N167,497.341
59,TESTA02,K140B-X03,E531,182.521
60,TESTA02,E531,N162,57.1293
61,TESTA02,E531,N185,270.6
62,TESTA02,DL-6,E558,103.737
63,TESTA02,E558,N273,497.658
64,TESTA02,E558,N179,166.091
65,TESTA02,N301D-X02,E196,238.065
66,TESTA02,E196,N6,408.374
67,TESTA02,E196,N278,396.985
68,TESTA02,DL-7,E558,87.8937
69,TESTA02,K210-X13,E50,169.893
70,TESTA02,K140A-X04,E3489,213.008
71,TESTA02,E3489,N277,98.9939
72,TESTA02,E3489,N165,287.179
73,TESTA02,V201-X13,E223,102.094
74,TESTA02,E223,N268,113.39
75,TESTA02,E223,N160,747.37
76,TESTA02,N301E-X02,E301,247.972
77,TESTA02,E301,N31,380.515
78,TESTA02,E301,N37,327.495
79,TESTA02,K210-X14,E50,203.098
80,TESTA02,DL-8,E67,97.1342
81,TESTA02,E67,N269,105.362
82,TESTA02,E67,N270,181.19
83,TESTA02,V201-X14,E84,137.941
84,TESTA02,N301F-X02,E101,247.972
85,TESTA02,E101,N31,135.515
86,TESTA02,E101,N37,572.495
87,TESTA02,N0,N1,17.3326
88,TESTA02,N1,N2,835.119
89,TESTA02,N2,N3,211.615
90,TESTA02,N3,N4,594.663
91,TESTA02,N4,N5,190.743
92,TESTA02,N6,N278,805.359
93,TESTA02,N4,N8,408.146
94,TESTA02,N8,N9,439.137
95,TESTA02,N9,N10,638.341
96,TESTA02,N11,N8,594.663
97,TESTA02,N8,N12,167.183
98,TESTA02,N3,N11,408.146
99,TESTA02,N2,N6,405.779
100,TESTA02,N280,N14,756.609
101,TESTA02,N17,N18,780.625
102,TESTA02,N18,N19,812.631
103,TESTA02,N19,N20,42.1455
104,TESTA02,N20,N21,128.269
105,TESTA02,N22,N23,246.862
106,TESTA02,N23,N24,452.997
107,TESTA02,N24,N25,107.651
108,TESTA02,N25,N26,190.81
109,TESTA02,N26,N27,878.425
110,TESTA02,N28,N29,8
111,TESTA02,N29,N26,24.4452
112,TESTA02,N26,N30,313.436
113,TESTA02,N30,N31,504.411
114,TESTA02,N30,N32,269.615
115,TESTA02,N32,N33,438.395
116,TESTA02,N33,N34,42.1455
117,TESTA02,N34,N35,128.269
118,TESTA02,N36,N19,17.7864
119,TESTA02,N19,N37,449.921
120,TESTA02,N37,N38,58.0327
121,TESTA02,N38,N33,446.378
