id,type,source,target,weight
,,M0,M1,360
,,M1,M2,200
,,M2,M3,370
,,M3,M4,390
,,M4,M5,120
,,M5,M6,150
,,M6,M7,280
,,M7,M8,80
,,M8,M9,300
,,M9,M10,500
,,M10,M11,80
,,M11,M12,260
,,M12,M13,490
,,M13,M14,310
,,M14,M15,220
,,M15,M16,300
,,M16,M17,210
,,M17,M18,260
,,M18,M19,260
,,M19,M20,70
,,M20,M21,20
,,M21,M22,420
,,M22,M23,160
,,M23,M24,140
,,M24,M25,160
,,M25,M26,220
,,M26,M27,340
,,M27,M28,120
,,M28,M29,470
,,M29,M30,130
,,M30,M31,60
,,M31,M32,460
,,M32,M33,20
,,M33,M34,190
,,M34,M35,310
,,M35,M36,260
,,M36,M37,330
,,M37,M38,320
,,M38,M39,130
,,M39,M40,400
,,M40,M41,400
,,M41,M42,120
,,M42,M43,130
,,M43,M44,430
,,M44,M45,410
,,M45,M46,80
,,M46,M47,160
,,M47,M48,120
,,M48,M49,450
,,M49,M50,110
,,M50,M51,460
,,M51,M52,480
,,M52,M53,400
,,M53,M54,320
,,M54,M55,430
,,M55,M56,40
,,M56,M57,480
,,M57,M58,350
,,M58,M59,420
,,M59,M60,370
,,M60,M61,370
,,M61,M62,190
,,M62,M63,480
,,M63,M64,390
,,M64,M65,460
,,M65,M66,270
,,M66,M67,190
,,M67,M68,220
,,M68,M69,160
,,M69,M70,340
,,M70,M71,160
,,M71,M72,480
,,M72,M73,260
,,M73,M74,160
,,M74,M75,450
,,M75,M76,470
,,M76,M77,480
,,M77,M78,180
,,M78,M79,70
,,M79,M80,80
,,M80,M81,160
,,M81,M82,500
,,M82,M83,500
,,M83,M84,280
,,M84,M85,360
,,M85,M86,340
,,M86,M87,200
,,M87,M88,270
,,M88,M89,410
,,M89,M90,110
,,M90,M91,340
,,M91,M92,160
,,M92,M93,470
,,M93,M94,330
,,M94,M95,70
,,M95,M96,440
,,M96,M97,470
,,M97,M98,280
,,M98,M99,200
,,M99,M100,120
,,M100,M101,400
,,M101,M102,50
,,M102,M103,300
,,M103,M104,400
,,M104,M105,380
,,M105,M106,190
,,M106,M107,330
,,M107,M108,20
,,M108,M109,70
,,M109,M110,380
,,M110,M111,300
,,M111,M112,30
,,M112,M113,400
,,M113,M114,430
,,M114,M115,150
,,M115,M116,260
,,M116,M117,110
,,M117,M118,90
,,M118,M119,190
,,M119,M120,90
,,M120,M121,440
,,M121,M122,220
,,M122,M123,220
,,M123,M124,360
,,M124,M125,30
,,M125,M126,10
,,M126,M127,40
,,M127,M128,180
,,M128,M129,90
,,M129,M130,340
,,M130,M131,300
,,M131,M132,30
,,M132,M133,140
,,M133,M134,120
,,M134,M135,370
,,M135,M136,370
,,M136,M137,280
,,M137,M138,250
,,M138,M139,60
,,M139,M140,280
,,M140,M141,380
,,M141,M142,90
,,M142,M143,460
,,M143,M144,90
,,M144,M145,20
,,M145,M146,410
,,M146,M147,290
,,M147,M148,220
,,M148,M149,240
,,M149,M150,30
,,M150,M151,290
,,M151,M152,480
,,M152,M153,330
,,M153,M154,340
,,M154,M155,50
,,M155,M156,130
,,M156,M157,130
,,M157,M158,220
,,M158,M159,500
