id,type,source,target,weight
,,M0,M1,210
,,M1,M2,470
,,M2,M3,140
,,M3,M4,60
,,M4,M5,450
,,M5,M6,450
,,M6,M7,20
,,M7,M8,110
,,M8,M9,70
,,M9,M10,310
,,M10,M11,380
,,M11,M12,100
,,M12,M13,40
,,M13,M14,440
,,M14,M15,310
,,M15,M16,20
,,M16,M17,260
,,M17,M18,380
,,M18,M19,150
,,M19,M20,380
,,M20,M21,110
,,M21,M22,100
,,M22,M23,470
,,M23,M24,80
,,M24,M25,490
,,M25,M26,20
,,M26,M27,500
,,M27,M28,300
,,M28,M29,250
,,M29,M30,290
,,M30,M31,500
,,M31,M32,350
,,M32,M33,10
,,M33,M34,250
,,M34,M35,350
,,M35,M36,250
,,M36,M37,380
,,M37,M38,140
,,M38,M39,320
,,M39,M40,50
,,M40,M41,220
,,M41,M42,240
,,M42,M43,30
,,M43,M44,90
,,M44,M45,290
,,M45,M46,180
,,M46,M47,190
,,M47,M48,280
,,M48,M49,470
,,M49,M50,370
,,M50,M51,270
,,M51,M52,380
,,M52,M53,120
,,M53,M54,420
,,M54,M55,280
,,M55,M56,260
,,M56,M57,320
,,M57,M58,410
,,M58,M59,440
,,M59,M60,160
,,M60,M61,210
,,M61,M62,150
,,M62,M63,260
,,M63,M64,100
,,M64,M65,130
,,M65,M66,240
,,M66,M67,450
,,M67,M68,230
,,M68,M69,260
,,M69,M70,270
,,M70,M71,120
,,M71,M72,40
,,M72,M73,300
,,M73,M74,240
,,M74,M75,30
,,M75,M76,330
,,M76,M77,430
,,M77,M78,420
,,M78,M79,470
,,M79,M80,280
,,M80,M81,360
,,M81,M82,470
,,M82,M83,460
,,M83,M84,240
,,M84,M85,220
,,M85,M86,370
,,M86,M87,310
,,M87,M88,490
,,M88,M89,420
,,M89,M90,310
,,M90,M91,180
,,M91,M92,210
,,M92,M93,440
,,M93,M94,430
,,M94,M95,100
,,M95,M96,120
,,M96,M97,220
,,M97,M98,340
,,M98,M99,330
,,M99,M100,40
,,M100,M101,140
,,M101,M102,20
,,M102,M103,290
,,M103,M104,210
,,M104,M105,320
,,M105,M106,300
,,M106,M107,420
,,M107,M108,200
,,M108,M109,20
,,M109,M110,40
,,M110,M111,440
,,M111,M112,400
,,M112,M113,100
,,M113,M114,80
,,M114,M115,240
,,M115,M116,340
,,M116,M117,200
,,M117,M118,410
,,M118,M119,300
,,M119,M120,460
,,M120,M121,190
,,M121,M122,20
,,M122,M123,120
,,M123,M124,50
,,M124,M125,220
,,M125,M126,220
,,M126,M127,360
,,M127,M128,220
,,M128,M129,270
,,M129,M130,400
,,M130,M131,200
,,M131,M132,220
,,M132,M133,40
,,M133,M134,320
,,M134,M135,370
,,M135,M136,240
,,M136,M137,470
,,M137,M138,310
,,M138,M139,490
,,M139,M140,170
,,M140,M141,300
,,M141,M142,150
,,M142,M143,270
,,M143,M144,10
,,M144,M145,170
,,M145,M146,10
,,M146,M147,280
,,M147,M148,250
,,M148,M149,360
,,M149,M150,410
,,M150,M151,10
,,M151,M152,240
,,M152,M153,440
,,M153,M154,440
,,M154,M155,30
,,M155,M156,440
,,M156,M157,130
,,M157,M158,110
,,M158,M159,220
,,M159,M160,380
,,M160,M161,20
,,M161,M162,90
,,M162,M163,390
,,M163,M164,460
,,M164,M165,170
,,M165,M166,370
,,M166,M167,400
,,M167,M168,360
,,M168,M169,20
,,M169,M170,210
,,M170,M171,400
,,M171,M172,230
,,M172,M173,460
,,M173,M174,470
,,M174,M175,260
,,M175,M176,320
,,M176,M177,480
,,M177,M178,350
,,M178,M179,230
,,M179,M180,290
,,M180,M181,250
,,M181,M182,110
,,M182,M183,200
,,M183,M184,160
,,M184,M185,80
,,M185,M186,380
,,M171,E187,140
,,M159,E188,160
,,M104,E189,330
,,M104,E190,420
,,M135,E191,400
,,M108,E192,460
,,M93,E193,260
,,M35,E194,320
,,M151,E195,230
,,M176,E196,390
,,M72,E197,430
,,M43,E198,80
,,M7,E199,50
,,M133,E200,500
,,M66,E201,180
,,M19,E202,240
,,M169,E203,430
,,M46,E204,440
,,M85,E205,30
,,M133,E206,120
,,M48,E207,370
,,M134,E208,180
,,M40,E209,300
,,M171,E210,390
,,M138,E211,200
,,M145,E212,330
,,M90,E213,70
,,M73,E214,260
,,M141,E215,420
,,M149,E216,480
,,M88,E217,160
,,M76,E218,470
,,M73,E219,460
,,M34,E220,210
,,M166,E221,190
,,M163,E222,450
,,M127,E223,410
,,M171,E224,70
,,M165,E225,340
,,M126,E226,220
,,M167,E227,240
,,M176,E228,320
,,M34,E229,390
,,M22,E230,470
,,M14,E231,420
,,M142,E232,500
,,M8,E233,40
,,M24,E234,110
,,M162,E235,490
,,M169,E236,310
,,M125,E237,170
,,M129,E238,410
,,M53,E239,170
,,M38,E240,270
,,M26,E241,150
,,M4,E242,400
,,M81,E243,60
,,M96,E244,220
,,M151,E245,40
,,M95,E246,190
,,M78,E247,180
,,M72,E248,240
,,M2,E249,450
,,M82,E250,20
,,M90,E251,190
,,M87,E252,400
,,M35,E253,50
,,M80,E254,430
,,M31,E255,330
,,M24,E256,50
,,M123,E257,200
,,M134,E258,390
,,M145,E259,340
,,M138,E260,320
,,M140,E261,490
,,M25,E262,150
,,M150,E263,500
,,M103,E264,380
,,M176,E265,390
,,M170,E266,310
,,M125,E267,290
,,M159,E268,300
,,M29,E269,120
,,M158,E270,40
,,M138,E271,120
,,M51,E272,480
,,M134,E273,100
,,M58,E274,170
,,M46,E275,280
,,M141,E276,460
,,M143,E277,100
,,M143,E278,90
,,M152,E279,180
,,M183,E280,120
,,M56,E281,10
,,M7,E282,180
,,M39,E283,450
,,M87,E284,70
,,M9,E285,80
,,M97,E286,290
,,M110,E287,340
,,M34,E288,350
,,M40,E289,460
,,M108,E290,440
,,M6,E291,150
,,M65,E292,500
,,M127,E293,170
,,M184,E294,50
,,M108,E295,190
,,M60,E296,220
,,M7,E297,40
,,M9,E298,440
,,M154,E299,10
,,M60,E300,140
,,M114,E301,460
,,M91,E302,170
,,M144,E303,300
,,M162,E304,330
,,M179,E305,310
,,M87,E306,250
,,M56,E307,270
,,M57,E308,200
,,M84,E309,470
,,M25,E310,240
,,M78,E311,250
,,M68,E312,40
,,M35,E313,390
,,M96,E314,290
,,M90,E315,160
,,M158,E316,170
,,M137,E317,100
,,M168,E318,40
,,M28,E319,360
,,M150,E320,280
,,M72,E321,190
,,M8,E322,450
,,M15,E323,480
,,M31,E324,380
,,M47,E325,180
,,M79,E326,500
,,M28,E327,240
,,M71,E328,160
,,M80,E329,470
,,M70,E330,340
,,M164,E331,70
,,M67,E332,200
,,M186,E333,270
,,M55,E334,380
,,M60,E335,430
,,M163,E336,370
,,M110,E337,70
,,M86,E338,230
,,M174,E339,400
,,M107,E340,430
,,M186,E341,490
,,M63,E342,190
,,M145,E343,410
,,M67,E344,220
,,M59,E345,440
,,M64,E346,110
,,M39,E347,220
,,M121,E348,30
,,M47,E349,220
